name,design_phase,x,y,z,epsilon_med,exact_slope_ratio,six_param_max_error_pct,six_param_rms_error_pct,four_param_max_error_pct,four_param_rms_error_pct,a0_wall,a1_wall,hQ6,hu06,a06,a16,hd06,hd16,hQ4,hu04,hd04,hd14
axis_x_m2p0pct,phase1_axis,-0.02,0.0,0.0,0.047619047619047616,0.04822497248301631,0.16843379169404482,0.08851966483695321,0.2500307881346031,0.12402837818828344,0.2635365830624751,0.24274511490848152,2.7958848004815735,2.9528266829421823,0.2633546914999352,0.24306413990202128,2.6905585774207927,-0.666292807409765,2.7988159523388902,2.95737416984046,2.6937550023524985,-0.6662291355642415
axis_x_p1p0pct,phase1_axis,0.01,0.0,0.0,0.047619047619047616,0.04781996839278532,0.05573532599402187,0.02935190150540978,1.5472367028096068,0.9142740431483171,0.26353658306247524,0.2445589015703133,2.791053034642956,2.94635301407848,0.25989365934256,0.24194904433883827,2.691729308382364,-0.6637416550160427,2.7453085048158683,2.9492882194544063,2.6871474429976696,-0.6672926265661625
axis_x_p2p0pct,phase1_axis,0.02,0.0,0.0,0.047619047619047616,0.04768481550521877,0.018242365776866,0.009614155514514177,2.0735727783710134,1.230526060557237,0.2635365830624751,0.245163497124257,2.7893642955421702,2.9443653436364725,0.25877098294502127,0.24159007191182993,2.692213296357728,-0.6629341250435631,2.7273839975501715,2.9468047224865113,2.6851069810915487,-0.6676725236487367
axis_y_m1p0pct,phase1_axis,0.0,-0.01,0.0,0.047619047619047616,0.048332011048845255,0.18137299635772042,0.0959372210621855,2.490328319799451,1.2564401116063766,0.2609143502478273,0.2475818793400331,2.76448876946014,2.916867169474552,0.2600275243629927,0.24315356407018265,2.6675209083783993,-0.6614011111537772,2.714174405448575,2.8776684943234616,2.6354510947803713,-0.6637719456101482
axis_y_m2p0pct,phase1_axis,0.0,-0.02,0.0,0.047619047619047616,0.04879853915870433,0.2735984367910782,0.14543472252900172,3.7815181839455425,1.8555436529563496,0.2583182090856336,0.25131021858935376,2.7365409143432817,2.8853556578871364,0.2591445182484523,0.2441353007492316,2.643721429807427,-0.6585253766473783,2.6730084241786214,2.802323869477416,2.581045129224952,-0.6606060201425895
axis_y_p1p0pct,phase1_axis,0.0,0.01,0.0,0.047619047619047616,0.04765629756167333,0.0112065429474284,0.005868451577525411,0.7352446495955789,0.3858222373864611,0.2661851697550437,0.24032673269270605,2.821983308560374,2.9805309970303306,0.2621562019786566,0.24160393786138248,2.715463053667356,-0.6681265713919881,2.82236968303027,3.0248640984971233,2.7424260033484056,-0.669872944163939
axis_y_p2p0pct,phase1_axis,0.0,0.02,0.0,0.047619047619047616,0.047416853592883036,0.06574284949727449,0.034235680680516675,2.745580137843673,1.2542972895674862,0.2688603751864096,0.23669915936904282,2.8516797972258443,3.013008073226059,0.26342461721772403,0.24103030253874372,2.7398193105773907,-0.6720253086133887,2.891298405631767,3.0944053611047244,2.793086261554805,-0.6722214405657972
axis_z_m1p0pct,phase1_axis,0.0,0.0,-0.01,0.047619047619047616,0.04795910084880499,0.09391346718721216,0.04945866235839077,1.4634783604131618,0.8191497613989024,0.2635365830624751,0.24465966749597073,2.7942429263314215,2.9474682005401154,0.260913383036676,0.24220699284327946,2.690473756303283,-0.664171094188957,2.7548462874626316,2.943748462315117,2.682639210485577,-0.667000127715807
axis_z_m2p0pct,phase1_axis,0.0,0.0,-0.02,0.047619047619047616,0.04795772158813537,0.09324125606804401,0.0491281356110532,1.9112816416234413,1.0436947999890438,0.2635365830624751,0.24536502897557189,2.7955691010629256,2.9467074290553734,0.26080750235207606,0.24210986340409044,2.6898215391022022,-0.6638225211539076,2.7464673846673446,2.9358139922619566,2.676195474939372,-0.6671040686452449
axis_z_p1p0pct,phase1_axis,0.0,0.0,0.01,0.047619047619047616,0.047951687589139085,0.09273147894908185,0.04877253768189647,0.5390670639413342,0.3728824543514381,0.2635365830624751,0.2432489445367681,2.791163687321665,2.9493760851203987,0.26115046124440605,0.24242172412394306,2.692103567602728,-0.664968483189498,2.771633840245237,2.9599523879544107,2.695858050138167,-0.666837254116532
