name,design_phase,x,y,z,success,nfev,cost,max_error_pct,rms_error_pct,h_Q,h_u0,h_u1,a_d0,a_d1,h_d0,h_d1,err_ct,err_ut,err_sb,err_db,err_Vus,err_Vcb,err_Vub
axis_x_p1p0pct,phase1_axis,0.01,0.0,0.0,True,7,1.2568882764585957e-24,8.399947404313934e-11,4.237399786383113e-11,2.7907928517671228,2.9242616868204614,-0.03157835792087912,0.25906434796729033,0.24193557426402212,2.6751392224435824,-0.6603592386657323,-4.993783164763954e-11,8.399947404313934e-11,7.105427357601002e-13,-1.8673951274195133e-11,2.184918912462308e-11,-5.540012892879531e-12,-4.6496140271301556e-11
axis_x_p2p0pct,phase1_axis,0.02,0.0,0.0,True,8,1.732483470510863e-22,1.315592079720318e-09,4.974914265233259e-10,2.7892731733829934,2.9371179855930376,-0.03155905463652237,0.2585003876299951,0.24158598483635746,2.6867654218604486,-0.661826082415447,-9.825473767932635e-12,-1.315592079720318e-09,-1.3411494137471891e-11,-1.9617640845126516e-11,2.0050627824730327e-11,1.4233059175694507e-11,-2.0872192862952943e-11
axis_y_m1p0pct,phase1_axis,0.0,-0.01,0.0,True,10,1.3957744012656238e-23,3.7125857943465235e-10,1.4120773906894454e-10,2.764480775944859,2.841185260608608,-0.0314179565990075,0.2574164502003174,0.2432699425620781,2.610328006587411,-0.6500444719185368,3.494982081519993e-11,3.7125857943465235e-10,8.104628079763643e-12,3.1086244689504383e-12,-1.1446399383885364e-11,1.021405182655144e-12,-1.7763568394002505e-11
axis_y_m2p0pct,phase1_axis,0.0,-0.02,0.0,True,10,1.2961908369223028e-22,1.1375900221821666e-09,4.3031399135289714e-10,2.73788421848282,2.7644258564175574,-0.03126926737048156,0.25537571000940484,0.24460316856519734,2.5516950657471207,-0.640782857634047,-1.0336176359260207e-11,-1.1375900221821666e-09,-7.549516567451064e-13,8.326672684688674e-12,1.021405182655144e-11,-9.259260025373806e-12,-4.1389114358025836e-11
axis_y_p1p0pct,phase1_axis,0.0,0.01,0.0,True,11,3.14728888620768e-23,5.463851593390245e-10,2.1204012214974405e-10,2.8218922511004214,2.9763128397300056,-0.03180897824184389,0.26198367048406473,0.2415924698044507,2.7123221551399093,-0.667466418277226,-1.312283615106935e-11,-5.463851593390245e-10,-8.060219158778636e-12,-6.0174087934683484e-12,-4.6429526889824047e-11,3.3084646133829665e-12,1.1726175586090903e-10
axis_y_p2p0pct,phase1_axis,0.0,0.02,0.0,True,8,1.9451622858443148e-24,1.3529177778082158e-10,5.2714468822895687e-11,2.8524404051289647,3.0366148496886316,-0.03204400448067301,0.26446334489738677,0.24114093366452558,2.757260657552379,-0.6757935639466934,-1.2279066652354231e-11,-1.3529177778082158e-10,3.9968028886505635e-12,2.19824158875781e-12,1.758593271006248e-11,1.887379141862766e-12,-2.5757174171303632e-11
axis_z_m1p0pct,phase1_axis,0.0,0.0,-0.01,True,7,1.390407083476532e-23,3.693489958322971e-10,1.4093640417064847e-10,2.79383799527173,2.9101917693485877,-0.03157937140256061,0.2595117773101917,0.24218637132426177,2.662500226602711,-0.6584646259761451,-2.1083135237631723e-11,3.693489958322971e-10,1.7763568394002505e-13,9.969802761133906e-12,-1.73749903353837e-11,9.325873406851315e-13,4.214406601477094e-11
axis_z_m2p0pct,phase1_axis,0.0,0.0,-0.02,True,8,1.0969845816756465e-25,2.3314683517128287e-11,1.251899275079867e-11,2.7951618659260307,2.9096007812137925,-0.03156333413640727,0.2594161621022251,0.24209212658908408,2.6619702043252573,-0.6581491591171816,7.926992395823618e-12,1.8895995879120164e-11,3.552713678800501e-12,-2.3314683517128287e-11,-9.681144774731365e-12,-1.7763568394002505e-13,5.218048215738236e-12
axis_z_p1p0pct,phase1_axis,0.0,0.0,0.01,True,7,2.6042488295327243e-23,5.048850226785362e-10,1.9288222773908028e-10,2.790753832022617,2.9128479795165947,-0.03161732548063207,0.2597654482182744,0.2423935632258353,2.6647073073542065,-0.6593579302471355,-1.7819079545233762e-11,5.048850226785362e-10,2.6645352591003757e-13,5.750955267558311e-12,-1.807443084089755e-11,-2.8976820942716586e-12,6.94999613415348e-11
axis_z_p2p0pct,phase1_axis,0.0,0.0,0.02,True,6,9.852547818862256e-25,7.15871806278301e-11,3.751919379905539e-11,2.7893362939909556,2.914201059622922,-0.031637528796724004,0.25989026690225653,0.24249770618696972,2.6658463523017915,-0.6598181725350452,1.6697754290362354e-11,-7.15871806278301e-11,-5.573319583618286e-12,1.2789769243681803e-11,-2.4835689060864752e-11,2.1316282072803006e-12,6.0285110237146e-11
pair_xm1p5_ym1p5,phase2_interaction,-0.015,-0.015,0.0,True,10,4.0428710527580797e-25,4.6052051061451493e-11,2.4032052407175574e-11,2.753626269643781,2.7845285891570373,-0.03137327848535253,0.2572702843134475,0.24445662113121713,2.5644154857963315,-0.6432874539890818,9.525713551283843e-12,4.6052051061451493e-11,3.197442310920451e-12,3.552713678800501e-13,1.5099033134902129e-12,-5.67323965583455e-12,-4.226619054747971e-11
pair_xm1p5_yp1p5,phase2_interaction,-0.015,0.015,0.0,True,10,4.859182628121819e-24,2.09277040141842e-10,8.33164763046059e-11,2.8390458656183126,2.9883564309955326,-0.03195336296182388,0.26407492035488733,0.241856199311849,2.718314122694891,-0.6695678910701977,1.3877787807814457e-11,2.09277040141842e-10,-1.0691447727140257e-11,2.353672812205332e-12,-2.7289281945286348e-11,1.84297022087776e-12,6.110667527536862e-11
pair_xm1p5_zm1p5,phase2_interaction,-0.015,0.0,-0.015,True,8,7.584887765263733e-23,8.61821725095524e-10,3.291740035376409e-10,2.7966702110003294,2.8909554233121444,-0.03160192557362089,0.26034273765447175,0.24267926645301555,2.6450649251406513,-0.6561600366895579,9.059419880941277e-12,-8.61821725095524e-10,3.9968028886505635e-13,3.0198066269804258e-12,5.835332217429823e-11,2.886579864025407e-12,-1.106670310946356e-10
