N_eff,threshold_ratio_kAdj_over_k0,threshold_mismatch_pct,max_error_pct,rms_error_pct,h_d0,h_d1,a_d0,a_d1,error_ct_pct,error_ut_pct,error_sb_pct,error_db_pct,error_Vus_pct,error_Vcb_pct,error_Vub_pct
21.35,1.0166666666666668,1.666666666666683,1.4264628507593802,0.7147718109217709,2.712812065527187,-0.6719710696078891,0.25961714587165546,0.24264868993626396,-1.4264628507593802,-0.063950000967683,0.8766796965373969,0.19800121114397218,0.7902395285138919,-0.25389057768723244,0.20172906780822064
21.36,1.0171428571428571,1.7142857142857126,1.4498668269265935,0.7271057218086106,2.713623090137805,-0.6722388071411396,0.2595694532320114,0.24267213308048524,-1.4498668269265935,-0.06575387968020818,0.8975038986624106,0.20792984177899765,0.8002184769369647,-0.2610320703188007,0.1926299730308223
21.37,1.0176190476190476,1.7619047619047645,1.4732431830245196,0.7394815698317012,2.714433000620478,-0.6725065735708466,0.25952188361757883,0.24269568621719181,-1.4732431830245196,-0.06759181943339909,0.9183471268008558,0.2178875306936945,0.8101670993007737,-0.2681669668830655,0.18356508984795905
21.38,1.018095238095238,1.8095238095237942,1.4966095958480197,0.7518967837044368,2.715242129942309,-0.672774298783995,0.25947440322623283,0.24271929551558433,-1.4966095958480197,-0.0694793741316646,0.9391785734876423,0.22784932092321242,0.8200978106699619,-0.2752996309495881,0.17450425722984608
21.39,1.0185714285714287,1.8571428571428683,1.519955247811966,0.7643492368304454,2.7160508980526874,-0.6730421209660458,0.25942701391725553,0.24274297120043287,-1.519955247811966,-0.07136897814088439,0.9600139803946028,0.23781702457157383,0.8300151159806868,-0.28243143592775466,0.16545215630257015
21.4,1.019047619047619,1.904761904761898,1.5432848680978828,0.7768367569670936,2.7168600987248026,-0.6733101297902125,0.25937968016583185,0.24276667647618624,-1.5432848680978828,-0.07322190801001272,0.9808369570815101,0.24777433584157738,0.8399381050685273,-0.2895719791832785,0.1563860209886192
21.41,1.0195238095238095,1.9523809523809499,1.5665937703912447,0.7893574332139713,2.7176696140774106,-0.6735783395797194,0.2593324137517417,0.24279042539266882,-1.5665937703912447,-0.07503587107619003,1.001657959998492,0.2577259045475344,0.8498617172900014,-0.2967186524661547,0.14731418897919735
21.42,1.02,2.0000000000000018,1.5898972625394858,0.8019092955238464,2.718477139343177,-0.6738462905473317,0.2592852695849074,0.242814259201463,-1.5898972625394858,-0.0769821670063009,1.0224711552198062,0.26769624378706336,0.8597422342013772,-0.30385362395846105,0.13826710385638208
21.43,1.0204761904761905,2.0476190476190537,1.6131639209999937,0.8144908788289033,2.7192857665861765,-0.6741146743056952,0.25923819047808966,0.24283815206823764,-1.6131639209999937,-0.07880884476325623,1.043297210820171,0.277670707608757,0.8696398096549318,-0.31099594343918513,0.12921727631385327
21.44,1.020952380952381,2.0952380952381056,1.636420553160567,0.8271003161906969,2.72009318337306,-0.6743829506217913,0.2591912096426469,0.24286211113414014,-1.636420553160567,-0.08071099539819215,1.0641205093359085,0.2876491319391494,0.8795044229592985,-0.3181378276315705,0.1201825729670869
21.45,1.0214285714285714,2.1428571428571352,1.6596477159359302,0.8397362335147696,2.7209007678292583,-0.6746514655889333,0.2591443185589,0.24288614556109936,-1.6596477159359302,-0.08256531007744261,1.0849496459894414,0.29764475389835177,0.8893725191867929,-0.3252752745902421,0.11115487260224821
21.46,1.0219047619047619,2.190476190476187,1.682861970697902,0.8523970137554594,2.72170837632893,-0.6749200835183089,0.2590974856835691,0.24291021089472967,-1.682861970697902,-0.08441419585001331,1.1057711774429047,0.3076243925780098,0.8992309985879743,-0.3324258888183107,0.1021199803256767
21.47,1.0223809523809524,2.238095238095239,1.7060747096302675,0.8650811547353786,2.7225148832800756,-0.6751885517253752,0.259050746580657,0.24293432296421152,-1.7060747096302675,-0.0863491908029479,1.1265697411716458,0.3176059907009199,0.9090698283440668,-0.3395662078170547,0.0930839567611974
21.48,1.022857142857143,2.285714285714291,1.7292565277403082,0.8777876744234824,2.7233222529919185,-0.6754573767178293,0.25900406664909237,0.24295848626294225,-1.7292565277403082,-0.08819120638079436,1.1473760974559655,0.3275857372404989,0.9189184268949324,-0.34671852631120714,0.0840443093967469
21.49,1.0233333333333332,2.3333333333333206,1.7524199568780596,0.8905152592315543,2.7241284527165313,-0.6757261572566278,0.25895749758639725,0.24298273755487526,-1.7524199568780596,-0.09008913663535179,1.168188177771201,0.33758442828606405,0.9287376561418315,-0.3538649455190557,0.07502887548695991
21.5,1.0238095238095237,2.3809523809523725,1.7755617261537404,0.9032627867788684,2.72493398900036,-0.6759949942047213,0.25891103308241004,0.24300706815073947,-1.7755617261537404,-0.09200552962868036,1.1890071538096958,0.34759733043496777,0.9385390623311674,-0.36100387671627043,0.0660294368489911
21.51,1.0242857142857145,2.4285714285714466,1.7986956436404689,0.9160289327227872,2.7257403441812014,-0.6762640229235621,0.2588645961719524,0.24303139588738526,-1.7986956436404689,-0.0938785892592442,1.20979755601196,0.35758376655865565,0.948355142168178,-0.3681593659630389,0.05699789524460375
21.52,1.0247619047619048,2.4761904761904763,1.8217990691664965,0.9288130089550656,2.726546470536485,-0.6765332368375471,0.2588182563397002,0.24305580860400766,-1.8217990691664965,-0.09572578775708385,1.2306066720771058,0.36758405826617935,0.9581571446168669,-0.37531508012256243,0.04798562255130534
21.53,1.0252380952380953,2.523809523809528,1.8448888675229314,0.941613830796017,2.727351473309729,-0.6768023801289766,0.2587720267851404,0.24308029826100916,-1.8448888675229314,-0.09763568607622508,1.2514111707950804,0.37760152993036034,0.967936816321191,-0.38245779574402894,0.0389885112178634
21.54,1.0257142857142856,2.571428571428558,1.867964320268789,0.9544304561481499,2.728156731625813,-0.6770716726501933,0.2587258478947418,0.24310481517354499,-1.867964320268789,-0.09952321963304644,1.272207548296156,0.3876017032087953,0.977711632534839,-0.3896162836303785,0.029981413956492453
21.55,1.0261904761904763,2.619047619047632,1.8910133583313504,0.9672622050330159,2.728960798309561,-0.6773409718503643,0.25867979824821774,0.24312944264128145,-1.8910133583313504,-0.10145146062662258,1.2930192025136344,0.39763568782646974,0.9874600540973999,-0.39675913725500944,0.02100768932635777
21.56,1.0266666666666666,2.6666666666666616,1.9140444769165432,0.9801081529316723,2.7297632851889566,-0.677610157871053,0.2586338692348792,0.24315417004394504,-1.9140444769165432,-0.10346115898464125,1.313838245362109,0.40769646063754106,0.9971712089373197,-0.40389365869605287,0.012067419268824153
