r,Phi,Phi_prime,phi,phi_prime,V,V_minus_Vfalse,action_density_4d,w_FWHM,R_peak
1.202449157141464e-05,2.0411065257983405,-4.449181841343758e-07,-2.73622863332443e-07,-8.269714535995248e-12,0.048302944283712554,-0.7234594524176621,-2.482813528802547e-14,1.7517899927739728,5.860202508437851
1.211721561100025e-05,2.041106525798298,-4.607891597270116e-07,-2.7362286333322355e-07,-8.564709081607248e-12,0.04830294428372465,-0.72345945241765,-2.540694476731854e-14,1.7517899927739728,5.860202508437851
1.2210654670216087e-05,2.0411065257982544,-4.764989373168232e-07,-2.736228633340375e-07,-8.856707432606098e-12,0.04830294428373699,-0.7234594524176376,-2.5999247825949434e-14,1.7517899927739728,5.860202508437851
1.2304814262767919e-05,2.041106525798209,-4.920529084108387e-07,-2.736228633348851e-07,-9.145809801178338e-12,0.04830294428374983,-0.7234594524176248,-2.660535903492962e-14,1.7517899927739728,5.860202508437851
1.2399699944879154e-05,2.0411065257981615,-5.074563834760268e-07,-2.736228633357665e-07,-9.432114893215244e-12,0.04830294428376329,-0.7234594524176113,-2.722560029875253e-14,1.7517899927739728,5.860202508437851
1.2495317315618713e-05,2.0411065257981122,-5.227140396097615e-07,-2.7362286333668204e-07,-9.715709642138601e-12,0.04830294428377731,-0.7234594524175972,-2.786030102635651e-14,1.7517899927739728,5.860202508437851
1.2591672017231422e-05,2.041106525798061,-5.378307829143736e-07,-2.736228633376317e-07,-9.996685237895757e-12,0.04830294428379175,-0.7234594524175828,-2.8509798306073205e-14,1.7517899927739728,5.860202508437851
1.2688769735470974e-05,2.0411065257980083,-5.528117300556187e-07,-2.7362286333861587e-07,-1.0275136784186017e-11,0.04830294428380675,-0.7234594524175678,-2.91744370846547e-14,1.7517899927739728,5.860202508437851
1.278661619993534e-05,2.0411065257979533,-5.676613846661771e-07,-2.736228633396349e-07,-1.0551147990235009e-11,0.04830294428382236,-0.7234594524175523,-2.9854570350473366e-14,1.7517899927739728,5.860202508437851
1.2885217184405017e-05,2.0411065257978964,-5.8238421318586e-07,-2.736228633406887e-07,-1.0824801873962832e-11,0.048302944283838536,-0.7234594524175361,-3.055055932099443e-14,1.7517899927739728,5.860202508437851
1.2984578507183623e-05,2.0411065257978382,-5.969849847435179e-07,-2.7362286334177784e-07,-1.1096187079384515e-11,0.04830294428385502,-0.7234594524175195,-3.126277363461706e-14,1.7517899927739728,5.860202508437851
1.3084706031441257e-05,2.0411065257977774,-6.114681244699196e-07,-2.7362286334290233e-07,-1.1365385856607096e-11,0.04830294428387231,-0.7234594524175023,-3.199159154698882e-14,1.7517899927739728,5.860202508437851
1.3185605665560482e-05,2.0411065257977152,-6.25837726239908e-07,-2.736228633440627e-07,-1.163247429866865e-11,0.0483029442838899,-0.7234594524174847,-3.2737400131896605e-14,1.7517899927739728,5.860202508437851
1.3287283363484954e-05,2.041106525797651,-6.400981660020766e-07,-2.7362286334525893e-07,-1.1897533741524884e-11,0.04830294428390817,-0.7234594524174665,-3.3500595486840626e-14,1.7517899927739728,5.860202508437851
1.3389745125070774e-05,2.0411065257975847,-6.542538073046637e-07,-2.7362286334649147e-07,-1.2160645290645538e-11,0.04830294428392699,-0.7234594524174476,-3.4281582943401154e-14,1.7517899927739728,5.860202508437851
1.349299699644052e-05,2.041106525797516,-6.683084860841581e-07,-2.7362286334776065e-07,-1.2421880244756763e-11,0.048302944283946506,-0.723459452417428,-3.50807772825093e-14,1.7517899927739728,5.860202508437851
1.3597045070340047e-05,2.041106525797446,-6.822661956653861e-07,-2.736228633490666e-07,-1.2681312827968894e-11,0.048302944283966254,-0.7234594524174083,-3.589860295473656e-14,1.7517899927739728,5.860202508437851
1.370189548649791e-05,2.0411065257973737,-6.961311100532525e-07,-2.7362286335040974e-07,-1.293902062270112e-11,0.04830294428398681,-0.7234594524173877,-3.6735494305718835e-14,1.7517899927739728,5.860202508437851
1.3807554431987815e-05,2.041106525797299,-7.099069313091823e-07,-2.736228633517905e-07,-1.3195072439337685e-11,0.048302944284007984,-0.7234594524173666,-3.759189580683789e-14,1.7517899927739728,5.860202508437851
1.3914028141593606e-05,2.041106525797223,-7.235973083293144e-07,-2.7362286335320903e-07,-1.3449536100077241e-11,0.04830294428402952,-0.7234594524173451,-3.8468262291278353e-14,1.7517899927739728,5.860202508437851
