r,Phi,phi,Phi_prime,phi_prime,gradient_density,H_PhiPhi,H_phiphi,H_cross,H_eigen_soft,H_eigen_hard,mixing_sin2_2theta
1.1660636805226384e-05,2.0411065168865057,-2.736228279232061e-07,-3.797163047201769e-07,-7.057803518492992e-12,1.4418447212015884e-13,0.6942224990853554,19.27261003461829,-5.167222801665598e-06,0.694222499083919,19.272610034619724,3.094270890403099e-13
1.1750555064331123e-05,2.041106516886471,-2.7362282792385457e-07,-3.9628562897514724e-07,-7.365778271156153e-12,1.5704229978648276e-13,0.694222499085313,19.272610034617635,-5.167222801677755e-06,0.6942224990838763,19.27261003461907,3.0942708904178637e-13
1.1841166706949605e-05,2.041106516886434,-2.736228279245358e-07,-4.126719338375256e-07,-7.670351234387167e-12,1.702981250360374e-13,0.694222499085268,19.27261003461694,-5.167222801690527e-06,0.6942224990838302,19.272610034618374,3.0942708904333763e-13
1.1932477079945784e-05,2.0411065168863955,-2.7362282792525e-07,-4.288809253425754e-07,-7.971628466512403e-12,1.839388481862506e-13,0.6942224990852204,19.272610034616207,-5.167222801703918e-06,0.694222499083784,19.272610034617642,3.094270890449642e-13
1.202449157141464e-05,2.041106516886356,-2.7362282792599725e-07,-4.449181679124694e-07,-8.269713393689551e-12,1.9795217620697644e-13,0.6942224990851723,19.272610034615465,-5.1672228017179285e-06,0.6942224990837342,19.272610034616903,3.0942708904666524e-13
1.211721561100025e-05,2.0411065168863134,-2.736228279267778e-07,-4.607891429264426e-07,-8.564707898553595e-12,2.1232663431223976e-13,0.69422249908512,19.272610034614658,-5.167222801732561e-06,0.6942224990836845,19.272610034616093,3.094270890484429e-13
1.2210654670216087e-05,2.04110651688627,-2.7362282792759173e-07,-4.76498919943469e-07,-8.856706209218362e-12,2.2705122078573372e-13,0.6942224990850667,19.272610034613837,-5.167222801747821e-06,0.6942224990836312,19.272610034615276,3.094270890502961e-13
1.230481426276792e-05,2.041106516886225,-2.7362282792843935e-07,-4.9205289047038e-07,-9.145808537856539e-12,2.4211604710390156e-13,0.6942224990850115,19.27261003461299,-5.167222801763715e-06,0.6942224990835744,19.272610034614424,3.0942708905222604e-13
1.2399699944879154e-05,2.041106516886177,-2.736228279293208e-07,-5.074563649739508e-07,-9.432113590345775e-12,2.5751196244154034e-13,0.6942224990849529,19.272610034612082,-5.167222801780239e-06,0.6942224990835175,19.27261003461352,3.094270890542333e-13
1.2495317315618712e-05,2.041106516886128,-2.736228279302363e-07,-5.227140205513849e-07,-9.715708300095849e-12,2.732299473753886e-13,0.694222499084893,19.27261003461116,-5.167222801797403e-06,0.6942224990834571,19.272610034612597,3.094270890563177e-13
1.2591672017231422e-05,2.0411065168860767,-2.73622827931186e-07,-5.378307633048342e-07,-9.996683857041502e-12,2.892619300569943e-13,0.6942224990848301,19.27261003461019,-5.167222801815208e-06,0.6942224990833932,19.272610034611624,3.094270890584803e-13
1.2688769735470974e-05,2.041106516886024,-2.736228279321701e-07,-5.528117098998676e-07,-1.0275135364868911e-11,3.0560078670799383e-13,0.6942224990847653,19.27261003460919,-5.167222801833659e-06,0.6942224990833292,19.27261003461063,3.0942708906072125e-13
1.278661619993534e-05,2.041106516885969,-2.736228279331892e-07,-5.676613639690013e-07,-1.0551146532792143e-11,3.222394242544736e-13,0.694222499084698,19.27261003460815,-5.167222801852763e-06,0.6942224990832617,19.272610034609585,3.0942708906304174e-13
1.2885217184405017e-05,2.041106516885912,-2.7362282793424295e-07,-5.823841919518837e-07,-1.0824800378719824e-11,3.3917134715262484e-13,0.6942224990846282,19.272610034607073,-5.16722280187252e-06,0.6942224990831907,19.272610034608512,3.0942708906544134e-13
1.2984578507183624e-05,2.0411065168858538,-2.736228279353321e-07,-5.969849629771912e-07,-1.1096185546654735e-11,3.5639104614400373e-13,0.6942224990845571,19.27261003460598,-5.167222801892941e-06,0.6942224990831196,19.272610034607418,3.094270890679211e-13
1.3084706031441257e-05,2.041106516885793,-2.7362282793645657e-07,-6.114681021755314e-07,-1.1365384286692564e-11,3.7389324010731806e-13,0.6942224990844825,19.272610034604828,-5.167222801914021e-06,0.694222499083045,19.272610034606267,3.0942708907048167e-13
1.3185605665560482e-05,2.0411065168857307,-2.7362282793761695e-07,-6.25837703421598e-07,-1.163247269186087e-11,3.916728311593345e-13,0.6942224990844065,19.272610034603655,-5.167222801935777e-06,0.6942224990829704,19.272610034605094,3.0942708907312386e-13
1.3287283363484954e-05,2.0411065168856664,-2.736228279388132e-07,-6.40098142663825e-07,-1.1897532098104119e-11,4.097256323832297e-13,0.6942224990843276,19.27261003460244,-5.1672228019582055e-06,0.6942224990828922,19.27261003460388,3.0942708907584794e-13
1.3389745125070774e-05,2.0411065168856,-2.736228279400457e-07,-6.542537834502913e-07,-1.2160643610880856e-11,4.280480133069019e-13,0.6942224990842466,19.27261003460119,-5.1672228019813125e-06,0.6942224990828105,19.27261003460263,3.0942708907865427e-13
