name,x,y,z,k_geo,correlation_E,relative_shape_residual,adiabatic_relative_error,heavy_norm_fraction,scalar_profile_overlap,gap_min,gap_at_core,theta_total_core,fit_h_Q,fit_h_u0,fit_h_u1,fit_a_d0,fit_a_d1,fit_h_d0,fit_h_d1
validation_08,0.0042447431931197,-0.0008398559478993,0.010928888105964,0.19889337870775153,0.8116342191269846,0.6744087575815061,0.30609526498057166,0.052138175477996214,0.9986773795335211,2.035084663003249,2.2728547260379366,1.570758005774706,1.920046723183266,0.3754793883688912,-0.0332351968789469,0.3169896508421316,0.486837456190599,0.1040275647653291,-0.1483090384076281
corridor_x_m3p0pct,-0.03,0.0,0.0,0.20209488075870113,0.8145678798958464,0.6672841575596581,0.30650938656875054,0.052055594190743376,0.9986832937444228,2.024946231424083,2.261130876501755,1.5707546539136343,1.9530601347434728,0.3786024636727175,-0.0336798866951782,0.3176256722479553,0.4885732458103823,0.1040497713553816,-0.1497312293229565
corridor_x_m5p0pct,-0.05,0.0,0.0,0.20408010524647882,0.8159364932714379,0.6640755199762042,0.30661804424727135,0.05198855744986518,0.9986839206695216,2.021970689050835,2.257014323546648,1.570753592963256,1.972416246433616,0.3804085744965734,-0.033943521775033,0.3180152872431681,0.4896242292278333,0.1040293974757177,-0.150558484960891
corridor_x_m8p0pct,-0.08,0.0,0.0,0.20709588953676347,0.8179656444206622,0.65929202292563,0.3067885097759548,0.05188368193837682,0.9986845467149928,2.0174592092215677,2.2509037971223953,1.570751874760929,2.002187999235084,0.3832190061367816,-0.0343423051759155,0.3185514240428254,0.4911346499233074,0.1040648853049875,-0.1518336085795305
corridor_x_p3p0pct,0.03,0.0,0.0,0.1962913882105899,0.8103923390010513,0.6770352387556839,0.3062060668704111,0.052252423538712636,0.9986818928714325,2.033712660390917,2.273239677839327,1.570757518746894,1.896595892935656,0.3732185960068345,-0.0329191477078647,0.3165593904599727,0.485652620499754,0.1039827120067307,-0.1472850907065485
corridor_x_p5p0pct,0.05,0.0,0.0,0.19440718203926782,0.8089777291351751,0.6803265792344013,0.3061121309254764,0.05231675273831684,0.998681589840263,2.036581114148127,2.277189951706631,1.5707583794007978,1.8782934981473889,0.371431818155383,-0.0326755498981763,0.316240946511972,0.4847597285281813,0.1039145778307899,-0.1464807334198603
corridor_x_p8p0pct,0.08,0.0,0.0,0.19162867452635818,0.8068341776670552,0.6853047749115238,0.3059776843985885,0.05241261507340876,0.9986813561580633,2.0408326641479557,2.2830092538880815,1.5707595955905194,1.851282015788713,0.3687425671928612,-0.0323202994543972,0.3158123538239133,0.483518908207056,0.1037513107751409,-0.1452805305770311
corridor_y_m3p0pct,0.0,-0.03,0.0,0.19936733163288142,0.8078152672016855,0.6819839303392816,0.30607004688037825,0.05292675674737413,0.9987039892451636,1.977755559152028,2.2117871087318486,1.5707409365917542,1.9152299560792465,0.3698608818199432,-0.0348305080386894,0.3291905147010743,0.5077928212436332,0.0905760424329475,-0.1477603346459096
corridor_y_m5p0pct,0.0,-0.05,0.0,0.1995361185753568,0.8046290239002388,0.6886449380178584,0.30589809614316693,0.0534339481679853,0.998719026477956,1.9439499879333209,2.175354365190214,1.570727909845127,1.9107377641388552,0.3667467370862634,-0.0359240764279049,0.3374543890432177,0.5222790660103207,0.082132396922196,-0.1473711675849746
corridor_y_m8p0pct,0.0,-0.08,0.0,0.19983197448690737,0.7997601373949249,0.6987321332712134,0.3056637793672732,0.05417904920485584,0.998741894183689,1.894063765865978,2.121671829742119,1.570702796858914,1.906806715358776,0.363558417955744,-0.0376640331638251,0.3499724501507937,0.544817876310481,0.0703750721055271,-0.1469816226553202
corridor_y_p3p0pct,0.0,0.03,0.0,0.19901779967282515,0.8170454501438548,0.6624715700983569,0.30666994408549286,0.051368865651689244,0.998662450621034,2.081992464619669,2.3236556201809027,1.5707672834169049,1.936974916815165,0.3835734439767962,-0.031873799951705,0.3053186665285365,0.4675046400737649,0.1184832717188849,-0.1494243050561496
corridor_y_p5p0pct,0.0,0.05,0.0,0.1989438181292011,0.8200079064178537,0.6561321860558601,0.3069006413631344,0.05083587773469986,0.998649766546692,2.1176981204758962,2.3618873973527275,1.5707729625689746,1.9471473852632348,0.3896159566221928,-0.0309856797874815,0.2976710497248435,0.4550347936031638,0.1287078820870764,-0.1501449131284291
corridor_y_p8p0pct,0.0,0.08,0.0,0.19888305102443604,0.8243424234441544,0.6468067440701796,0.3072785158080291,0.050027595999074255,0.9986327701658613,2.172132955980248,2.419913482244975,1.5707794801180601,1.9648688560885612,0.3998460007406998,-0.0297458224526865,0.2866449174079969,0.4373905804484122,0.1447172887499203,-0.1513323068549164
corridor_z_m3p0pct,0.0,0.0,-0.03,0.19879556732956827,0.8136540635742853,0.6686112196080678,0.30701817995330016,0.052296269521043943,0.9986979140697647,2.0113517264118825,2.249879520565906,1.5707500478842997,1.924981293631164,0.3754626166994541,-0.0334263477674907,0.3180618726560739,0.4887751642417856,0.1029327461166712,-0.1484832119740902
corridor_z_m5p0pct,0.0,0.0,-0.05,0.1985543691827601,0.814408219513821,0.6663115589252294,0.30748931243076266,0.052390330698473424,0.9987084054085819,1.9993990731373605,2.2382807215808653,1.5707455040672575,1.9251180431237769,0.3750993554715888,-0.0335218406428624,0.3187983364331835,0.4900491952976948,0.1021008821958787,-0.1484539929725661
corridor_z_m8p0pct,0.0,0.0,-0.08,0.19817997517889274,0.8155106128076864,0.6629067909012772,0.3082398695067276,0.052524537864004184,0.9987235045363005,1.9816127627427997,2.221124482463936,1.570737836652331,1.9255320286939088,0.3746388699839527,-0.0336627634887379,0.3198491697420998,0.4918724047723393,0.1009352366858828,-0.1484320298933034
corridor_z_p3p0pct,0.0,0.0,0.03,0.19953400407085164,0.8112970416834467,0.6757388515982583,0.3057383687272841,0.05201014968381193,0.9986670781412645,2.0474346002961203,2.2846525931926918,1.570761456304032,1.923981198964796,0.3763022608368442,-0.0331684710675309,0.3161480065756057,0.485478795747662,0.1050761105410685,-0.1485097522906085
corridor_z_p5p0pct,0.0,0.0,0.05,0.19977109184021646,0.8104829642028917,0.6781641410563523,0.3053547033990225,0.051909151921017624,0.9986563237545649,2.0595809497328603,2.2964429447094434,1.570764600241043,1.9237707468617045,0.3766320047853152,-0.0330825706444794,0.3154873119345379,0.4843456485716167,0.1058319120768382,-0.148531813933273
corridor_z_p8p0pct,0.0,0.0,0.08,0.20013491814869597,0.8092319018244971,0.6818805824767724,0.3048180020478189,0.051757847080766216,0.9986406044398215,2.077845270621334,2.3140628158227035,1.570768818922279,1.9231796063186275,0.3770068086761139,-0.0329647828160517,0.3146201291160733,0.4828624577776044,0.1068094784290099,-0.1485359152158415
