name,design_phase,x,y,z,c_d0_fit,c_d0_pred,c_d1_fit,c_d1_pred,a_d0_fit,a_d0_pred,a_d1_fit,a_d1_pred,Z_F_pred,c_d0_relative_error_pct,c_d1_relative_error_pct,a_d0_relative_error_pct,a_d1_relative_error_pct
axis_x_p1p0pct,phase1_axis,0.01,0.0,0.0,3.528604102857177,3.541264528742817,-0.8688832458508303,-0.8745969664519649,0.2610908319163424,0.2613007105714447,0.2412223735254533,0.24248403775278873,0.9915158932963,0.3587941723297572,0.6575935982675807,0.08038530252549858,0.5230295220531422
axis_x_p2p0pct,phase1_axis,0.02,0.0,0.0,3.515809392324821,3.5414887590815916,-0.8635140016405398,-0.8744414476426693,0.2608407020431141,0.2612542466835797,0.2405774612107174,0.2430402793072274,0.9913395842339113,0.730397012216577,1.265462514952742,0.15854298705164638,1.02371106757706
axis_y_m1p0pct,phase1_axis,0.0,-0.01,0.0,3.5544829428379865,3.5414887543699862,-0.8789399959379776,-0.8744414509101938,0.2622606216695918,0.25865472446185706,0.2421097784831895,0.24543771824464797,0.991339587938249,-0.3655718335681568,-0.51181480517144,-1.3749289484555671,1.3745581786526406
axis_y_m2p0pct,phase1_axis,0.0,-0.02,0.0,3.567272402836877,3.541947037558347,-0.8838946895373987,-0.8741236867307326,0.2632758848363317,0.2559880093892328,0.2424523109137878,0.24904323556300387,0.990979344024376,-0.7099364001019404,-1.1054487511153566,-2.768151534892571,2.718441669776328
axis_y_p1p0pct,phase1_axis,0.0,0.01,0.0,3.529003422630632,3.5406112970515164,-0.870153863368241,-0.875050184204594,0.2605176718624639,0.26406359373754906,0.2417342883167627,0.23841125620976272,0.9920296986513297,0.32892783119580216,0.5626959831448675,1.3611060814934683,-1.3746631188065295
axis_y_p2p0pct,phase1_axis,0.0,0.02,0.0,3.516414483143158,3.5401918452447347,-0.8663425241784879,-0.8753413272808982,0.2597895490227034,0.2668062181107116,0.2417003803645915,0.2348907216138647,0.9923597626676158,0.6761820091334414,1.038711924125324,2.700905065043635,-2.817396787069504
axis_z_m1p0pct,phase1_axis,0.0,0.0,-0.01,3.5438802062735952,3.54107720757484,-0.8746652721412403,-0.874726907475102,0.2611969684458878,0.26133953266091037,0.2418073034209355,0.242619990063695,0.991663205252062,-0.07909405892990717,0.0070467338563418025,0.05458111396576815,0.3360885429274152
axis_z_m2p0pct,phase1_axis,0.0,0.0,-0.02,3.546349681177603,3.5411111064750735,-0.8750530047939937,-0.8747033910417179,0.2610630177070773,0.26133250672669256,0.2417461759723027,0.2433129296122009,0.9916365450664584,-0.14771737627379267,-0.03995343714728872,0.10322757393299575,0.6480986239375763
axis_z_p1p0pct,phase1_axis,0.0,0.0,0.01,3.539189606736309,3.5410101383956243,-0.8739655608885867,-0.8747734367437474,0.2614959364454295,0.2613534340708463,0.2419359410755394,0.24123385926040905,0.9917159547025346,0.05143922370958176,0.09243795079743045,-0.05449506272268145,-0.29019326851942306
axis_z_p2p0pct,phase1_axis,0.0,0.0,0.02,3.5370324623332805,3.5409769631892254,-0.8736624660251937,-0.8747964529707317,0.261645184452655,0.26136031055989944,0.2420005885352907,0.24054066974365415,0.991742047812543,0.11152006372434631,0.12979691696006768,-0.10887794222220748,-0.6032707608161991
pair_xm1p5_ym1p5,phase2_interaction,-0.015,-0.015,0.0,3.58056211249412,3.5413762290596433,-0.8895859119695217,-0.8745194913184385,0.2631246859061926,0.25738764741172065,0.243226565133041,0.24635874207771344,0.9914280610385021,-1.0944059117907745,-1.6936442504722815,-2.1803497739916633,1.2877610399831152
pair_xm1p5_yp1p5,phase2_interaction,-0.015,0.015,0.0,3.5423465128815272,3.5400889621403775,-0.8765336506197179,-0.875412753623027,0.2605573722614507,0.2654971788905028,0.2427098133382652,0.23580992617767849,0.9924407375121868,-0.06373037569702422,-0.127878375907009,1.8958613936647106,-2.842854627789737
pair_xm1p5_zm1p5,phase2_interaction,-0.015,0.0,-0.015,3.564692717235997,3.5407675748726573,-0.8831014144606035,-0.8749417359434086,0.261521585932874,0.26140371631758064,0.2427560408427174,0.24217982428565835,0.991906752678853,-0.6711698387818044,-0.9239797812099271,-0.04507070224162302,-0.23736445653782523
pair_xm1p5_zp1p5,phase2_interaction,-0.015,0.0,0.015,3.5577732435947724,3.5406692610178907,-0.8820887556217214,-0.8750099588137678,0.2619596871803165,0.2614240990597874,0.24295136069679,0.23999962775621178,0.9919840958012762,-0.4807496545114254,-0.8025039161693281,-0.2044544052919095,-1.214948099945834
pair_xp1p5_ym1p5,phase2_interaction,0.015,-0.015,0.0,3.5414500525801387,3.542063670933588,-0.8732836954258831,-0.8740428339716225,0.2623950337909652,0.25724735812790644,0.2413180107417864,0.24812157068167345,0.9908876826091761,0.01732675441807885,0.08692920178352548,-1.9618037691824575,2.8193336746700437
