name,nfev,cost,max_error_pct,h_Q,h_u0,h_u1,a_d0,a_d1,h_d0,h_d1,err_ct,err_ut,err_sb,err_db,err_Vus,err_Vcb,err_Vub
pair_xm1p5_yp1p5,12,5.116255158101281e-23,5.031197680693822e-10,3.093141662016084,3.3273407421327974,-0.03147926961802017,0.257625372926898,0.23323411835613037,2.998372800306827,-0.7021852323260321,-2.9424240821640524e-10,-5.031197680693822e-10,-1.3705703238997557e-10,4.32764934998886e-11,-3.647859792010877e-10,9.71667191151937e-11,9.356959651540819e-11
pair_xp1p5_ym1p5,10,3.09600691316083e-23,5.42743627818254e-10,2.880929278047463,3.051855775294187,-0.03055937391231966,0.24952593072991525,0.23508614497177804,2.784403607607774,-0.6657512237766762,-4.0034642267983145e-11,-5.42743627818254e-10,3.0198066269804258e-12,4.742872761198669e-11,-2.816635813474022e-11,-9.992007221626409e-14,1.0185186027911186e-10
pair_xp1p5_yp1p5,14,1.4656807718974415e-24,1.0585976539800868e-10,3.075001488009006,3.319380735995622,-0.03134071270757099,0.25634198838518846,0.23270683170282574,2.9934417321682396,-0.700013242111544,2.7045032879868813e-11,-1.0585976539800868e-10,-1.7252865802674933e-11,1.8807178037150152e-11,2.233768725545815e-11,1.0169642905566434e-11,-3.82804898890754e-11
pair_xm1p5_zm1p5,8,2.0432364911067167e-23,4.4786396813378815e-10,2.9918178289118327,3.204435260538252,-0.03101713942935154,0.2538425420183486,0.2337999888320083,2.9029263355638086,-0.6854312231225569,-6.9610983643997315e-12,-4.4786396813378815e-10,-5.628830734849544e-12,-4.9826809345177026e-11,-1.5198953207118393e-11,-2.708944180085382e-12,3.0664359940146824e-11
pair_xm1p5_zp1p5,7,3.8430133804384855e-23,4.0273340218277554e-10,2.989698500637683,3.207319621466929,-0.031060395814423797,0.2542353989864559,0.23404449662990034,2.9049749580763304,-0.6864238724182047,-1.953659456432888e-10,3.468780818138839e-10,-1.241229341530925e-11,3.221867217462204e-11,2.4726887204451486e-10,3.588240815588506e-11,-4.0273340218277554e-10
pair_xp1p5_zm1p5,7,6.46009112707104e-23,8.020584196799518e-10,2.9753911170841283,3.1933524633026074,-0.030893419736703915,0.2526175143379164,0.23339731140966274,2.8954231232070087,-0.6830761067869209,-4.11226608321158e-11,-8.020584196799518e-10,2.19824158875781e-12,-1.5021317523178368e-11,-2.5723867480564877e-11,2.1094237467877974e-12,1.1124434706744069e-11
pair_xp1p5_zp1p5,8,6.115892321305334e-25,5.725420137991932e-11,2.9731815157431853,3.196173068728965,-0.030934023255183025,0.25299540272170473,0.23362825801354806,2.8974209297000684,-0.6840238014692608,4.685141163918161e-12,-5.725420137991932e-11,-6.94999613415348e-12,-1.0769163338864018e-11,-2.1460611066004276e-11,-8.659739592076221e-13,4.68070027181966e-11
pair_ym1p5_zm1p5,10,2.401776142597467e-22,9.74575975476455e-10,2.889390084156351,3.057362698765253,-0.030593746514349925,0.24991337819714787,0.23510112603709307,2.7882957625869307,-0.6665185936681123,-9.465206396441772e-10,-4.663713859542895e-10,-4.1311398746302075e-10,2.0090595853616833e-10,-9.74575975476455e-10,2.9831692671677956e-10,1.9635404413520519e-10
pair_ym1p5_zp1p5,7,1.5286619090591944e-24,1.1290968160437842e-10,2.887235363868294,3.0612606491755034,-0.030629193273039847,0.25027914193759004,0.23530181086462126,2.791179252639882,-0.6675480486160446,7.815970093361102e-12,1.1290968160437842e-10,1.1013412404281553e-11,-5.329070518200751e-13,7.993605777301127e-12,-6.7057470687359455e-12,-4.739542092124793e-11
pair_yp1p5_zm1p5,10,5.6474225456100144e-24,2.2750690220618708e-10,3.0851199294876674,3.3223174497277608,-0.031385921470172634,0.25677066435762974,0.23283224751585513,2.9952321511649016,-0.7006286672676423,-1.9262369477246466e-11,2.2750690220618708e-10,-8.704148513061227e-12,1.0413891970983968e-11,3.47721851312599e-11,8.215650382226158e-12,-5.369038547087257e-11
