name,design_phase,x,y,z,max_error_pct,rms_error_pct,h_u1_fixed,a_d0_fixed,a_d1_fixed,h_d1_fixed,h_Q_fit,h_u0_fit,h_d0_fit,err_ct,err_ut,err_sb,err_db,err_Vus,err_Vcb,err_Vub
pair_xm1p5_yp1p5,phase2_interaction,-0.015,0.015,0.0,4.770987047208653,2.61119540557406,-0.03125410338582487,0.24963921769895414,0.22762902094778326,-0.696339786666814,3.1950647598814386,3.3458536127653575,3.0297368259924546,-2.345763736737516,-0.3074277522619018,-1.3878481028553713,-4.770987047208653,0.43865896371892976,-2.4187844305180506,-3.3763724945841678
pair_xp1p5_ym1p5,phase2_interaction,0.015,-0.015,0.0,3.259714811577208,1.9292461945690471,-0.030700160661500126,0.25724186373049646,0.2398889385306367,-0.6734099106981442,2.803645033406987,3.0601893132933253,2.776584457354629,1.665655174205427,-0.894819568606875,1.202420357331624,3.259714811577208,-1.209969177293313,1.8838463066541467,2.3225781471156726
pair_xp1p5_yp1p5,phase2_interaction,0.015,0.015,0.0,2.1760062527630186,1.3058655582514784,-0.031370646260304044,0.24963921769895414,0.22936664706188875,-0.6885763276740839,3.0946389818494158,3.2803584890148696,2.973325986109291,0.02141192222604449,1.3215161700179445,-0.9610249088759959,-2.1760062527630186,0.2880378928107552,-1.293328542434491,-1.6661014079717207
pair_xm1p5_zm1p5,phase2_interaction,-0.015,0.0,-0.015,0.8541990641788177,0.4534452378827686,-0.03088085118742492,0.25341203132665596,0.23390378191538558,-0.6891288524070696,3.0142065367217663,3.2188028156748394,2.9170185420010832,-0.8541990641788177,-0.7236082760800566,0.224827691524232,-0.14380081876590456,0.18815433680992033,-0.16208114358833292,-0.23048772187095334
pair_xm1p5_zp1p5,phase2_interaction,-0.015,0.0,0.015,1.9315009808227313,1.0730023721721493,-0.03095926442575254,0.25341203132665596,0.23178001666481265,-0.6880277434170282,3.0439693514678168,3.245467755752892,2.9380077147453547,-1.3548981832133156,-0.38278807697704753,-0.6238773450549684,-1.9315009808227313,0.37420907819445404,-0.8116104201375318,-1.076289899231575
pair_xp1p5_zm1p5,phase2_interaction,0.015,0.0,-0.015,1.6529139682718297,0.9414207450534021,-0.03099094391363753,0.25341203132665596,0.23554487324537346,-0.6814846241633873,2.9235485418307072,3.157891825986844,2.8645264214696637,1.2769703251264808,0.17094372913319944,0.5558383928395472,1.6529139682718297,-0.5359444500227406,0.6953299588612127,0.8557073413685501
pair_xp1p5_zp1p5,phase2_interaction,0.015,0.0,0.015,0.8510785449110436,0.44527175071137853,-0.03107270394155035,0.25341203132665596,0.23351764277891726,-0.6803851302013303,2.9513914178534635,3.1821770980384536,2.883668950854044,0.8510785449110436,0.7057979911111456,-0.23620076276352764,0.09730958864375694,-0.21417635107987554,0.1402331088455,0.18597376012801092
pair_ym1p5_zm1p5,phase2_interaction,0.0,-0.015,-0.015,3.271053983313177,1.8823487049122272,-0.030602728464544995,0.25724186373049646,0.23998547331475378,-0.6777077260559521,2.8312578962141646,3.0794333036437096,2.793789258678893,0.8837682264640101,-1.464620526911109,1.4411880487140483,3.271053983313177,-0.9305860426863655,1.7978414978304658,2.2363933854685047
pair_ym1p5_zp1p5,phase2_interaction,0.0,-0.015,0.015,1.840022937839647,1.1637550768715903,-0.03068515092674536,0.25724186373049646,0.23795824284829759,-0.6766089402636184,2.8550918333594795,3.1030161259118825,2.8121553836281397,0.5498223893026788,-0.8579961637595224,0.6581223666023428,1.840022937839647,-0.5871950687192595,1.2851819993100255,1.620653816991524
pair_yp1p5_zm1p5,phase2_interaction,0.0,0.015,-0.015,2.4377735549371837,1.4067605650062815,-0.031271621837577555,0.24963921769895414,0.22955971663012265,-0.6929959937114983,3.1293363767314415,3.298984795400943,2.9903710923523485,-0.8948413499320296,0.4702842555715625,-0.7444031617800051,-2.4377735549371837,0.40492944879324533,-1.4936878445236723,-1.9846842268768983
