name,design_phase,x,y,z,max_error_pct,rms_error_pct,h_Q_fixed,h_u0_fixed,a_d1_fixed,h_d0_fixed,h_u1_fit,a_d0_fit,h_d1_fit,err_ct,err_ut,err_sb,err_db,err_Vus,err_Vcb,err_Vub
pair_xp1p5_yp1p5,phase2_interaction,0.015,0.015,0.0,1.5280102852122335,1.1378107198038867,2.9757390486411603,3.1885402803207934,0.2297389175654316,2.896683793809017,-0.031125290459822434,0.24832868447582623,-0.672891471261901,1.4842982531560134,-0.7297314393692855,-1.1916418468954637,-1.3432812559270424,-0.8548829642525235,-0.19128048174759105,-1.5280102852122335
pair_xm1p5_zm1p5,phase2_interaction,-0.015,0.0,-0.015,0.3592687913587578,0.24264955186764925,2.9756214737065525,3.191290530570353,0.23423557201120462,2.8954484825343942,-0.031007597235006967,0.252227337510072,-0.6851090154083472,0.28173051623694434,-0.13957050681256966,0.11727142069604124,0.27699217774153073,-0.3038292963440936,-0.03789546934068744,-0.3592687913587578
pair_xm1p5_zp1p5,phase2_interaction,-0.015,0.0,0.015,1.2400937544239432,0.7464368322088364,2.9758553871474707,3.191754694656113,0.2322031155233507,2.895531817357146,-0.031041635698182916,0.25161612602321753,-0.6797143327741051,0.22822263209658633,-0.11031929783377192,-0.8182301963660321,-1.2068419041689205,-0.29866236903044463,-0.2879582048330942,-1.2400937544239432
pair_xp1p5_zm1p5,phase2_interaction,0.015,0.0,-0.015,1.144826644980812,0.536198571793178,2.974050224250578,3.1878068514308433,0.23523512236173957,2.8950350173158275,-0.030882358247115056,0.25161681701366706,-0.6882030588895163,0.010247424358444945,-0.005754882083952584,0.802432048432733,1.144826644980812,-0.038976000212764816,0.05485531970927937,0.23102111651223112
pair_xp1p5_zp1p5,phase2_interaction,0.015,0.0,0.015,0.6149694891058655,0.2654910370288819,2.9742950914031816,3.188260781866867,0.23331003619695032,2.895135042366912,-0.030914138947874554,0.25103280647314474,-0.6831109827115163,-0.04487373362576097,0.02431251751564556,-0.07965296749675721,-0.26605926292249116,-0.03440519779707163,-0.18517658582215546,-0.6149694891058655
pair_ym1p5_zm1p5,phase2_interaction,0.0,-0.015,-0.015,2.2857979614568924,1.3878847760751485,2.9732384525228914,3.189047991037309,0.23933096263379405,2.8936050239864013,-0.030736980429481437,0.2551676567217094,-0.6996102281204069,-1.390709299128956,0.6990256725729616,1.9124280784437175,2.2857979614568924,0.7579991777294515,0.15118456985154793,1.2574525090865984
pair_ym1p5_zp1p5,phase2_interaction,0.0,-0.015,0.015,1.4479367751401573,0.8670590248940111,2.9734888692052692,3.1894993382606143,0.23741292851961057,2.8937124642818137,-0.03076693109725455,0.25454437117181083,-0.6945568305540757,-1.4479367751401573,0.730928182401458,1.0447047248457464,0.9011533143121753,0.7489366595537117,-0.11130355118926794,0.39367841873467757
pair_yp1p5_zm1p5,phase2_interaction,0.0,0.015,-0.015,1.6423874830916674,1.1160578861998691,2.9763811956280137,3.190040064333901,0.2301887540618576,2.8968223492386556,-0.03117382182403168,0.2489308708512513,-0.6738717939005732,1.6423874830916674,-0.8073475825471799,-1.103946634206865,-1.0897793255602917,-0.9825742999012732,-0.12640976833009354,-1.407871030964991
pair_yp1p5_zp1p5,phase2_interaction,0.0,0.015,0.015,2.5329788902865524,1.6733291671015667,2.9766097089276577,3.190506774643269,0.2282464237916612,2.8968984554094988,-0.031208573068862086,0.24839965284298288,-0.6686966582350319,1.5885158156516033,-0.778703018106508,-2.009758857545818,-2.5329788902865524,-0.9606831089386203,-0.34577833590185847,-2.229992198602071
validation_05,phase2_validation,0.0195131290489759,0.0096082345211527,0.0162620183224917,1.3708552829469478,0.9068235881782012,2.975078409575583,3.1880845923954038,0.23053768638538394,2.8961063340537594,-0.03104035120990894,0.24902590091644644,-0.6753416304692367,0.8715897827833663,-0.4290443808428912,-0.9767619378996395,-1.2837513846657211,-0.5193071851167796,-0.24809201940291237,-1.3708552829469478
validation_01,phase2_validation,-0.0166906968976708,-0.0177588310503958,-0.0167414382814477,2.1965691579895585,1.378636221836793,2.973830339599921,3.1908784383302145,0.239770821342117,2.8935535152078233,-0.030766167123286333,0.2561402660044173,-0.700664942666433,-1.5166087712884524,0.7634345837339351,1.866667536095168,2.1965691579895585,0.7757496227110083,0.14094638352122324,1.2208657502061238
corridor_x_m3p0pct,corridor,-0.03,0.0,0.0,1.1575834689409925,0.694191110920832,2.976496090100305,3.1932809145463157,0.23255828583310803,2.8956581377968247,-0.031088101823561747,0.2521756531643767,-0.6804197640310428,0.3923504538550837,-0.1923044980248867,-0.7671253249949661,-1.0055151485803604,-0.43763031900193594,-0.22655557556852113,-1.1575834689409925
corridor_x_p3p0pct,corridor,0.03,0.0,0.0,0.8481303441155719,0.42215536732440334,2.973364312822642,3.186303005519081,0.23476146330952447,2.894847757538406,-0.030836903484762077,0.2510498649741993,-0.687175229293039,-0.16133063252514734,0.08053963691312394,0.6868992049157141,0.8481303441155719,0.1047496497886824,-0.018383927133447386,0.11191879551448736
corridor_y_m3p0pct,corridor,0.0,-0.03,0.0,2.990367995924925,2.2397736890259035,2.9716934413097387,3.1887523721240334,0.24300645132784263,2.891946508656586,-0.03057117496200699,0.25836336959488776,-0.7101678509232545,-2.990367995924925,1.5233445814445634,2.7912467723897327,2.902544880980873,1.8037945826838042,0.14641230266689842,2.088608865279551
corridor_y_p3p0pct,corridor,0.0,0.03,0.0,3.853485826688574,2.67370903896131,2.9779591586785226,3.1907524841772714,0.22470389160197857,2.8983520388093926,-0.03144977840258525,0.24597224351602115,-0.6585862374169713,3.074097974100254,-1.494008340573183,-3.2454527417708934,-3.853485826688574,-1.6652631021574549,-0.353407697548791,-3.174678910290396
corridor_z_m3p0pct,corridor,0.0,0.0,-0.03,1.4267803539107282,0.663122567311876,2.974722885601306,3.189316649430058,0.23570380810450114,2.8952046586694786,-0.030926588662262507,0.2522027989141921,-0.6892242997013218,0.17143199981699553,-0.08667736255403291,0.9097497058447646,1.4267803539107282,-0.17479626899647993,0.12962598655292812,0.3612693476788609
corridor_z_p3p0pct,corridor,0.0,0.0,0.03,1.4041966514721782,0.8130683966779068,2.975201655945497,3.190234625050413,0.23184290920267606,2.895388054317156,-0.03099234528115947,0.2510518636593561,-0.678995369722986,0.06276132823181957,-0.02746040176510034,-0.8663192081543647,-1.4041966514721782,-0.16168177248219173,-0.3495134171901948,-1.3237411510474084
corridor_x_m5p0pct,corridor,-0.05,0.0,0.0,1.6426868408417672,1.0508778510109065,2.977478983671473,3.195634724123281,0.2317909806090536,2.895846941572881,-0.031172606255113026,0.2525748212067099,-0.6780455943150728,0.5810057530117874,-0.2847573322652064,-1.271879781156704,-1.6426868408417672,-0.6193388395216215,-0.2991833957869283,-1.5882587458159958
corridor_x_p5p0pct,corridor,0.05,0.0,0.0,1.5176566800727542,0.7820075433757412,2.9722582541919063,3.1840040273612322,0.2355579820729174,2.894495381376199,-0.03075320931006082,0.2507325761304333,-0.6895541448143386,-0.3381334296230665,0.16801364708640687,1.1968083618822734,1.5176566800727542,0.2839882304549901,0.0581682910047121,0.5643782992672985
corridor_y_m5p0pct,corridor,0.0,-0.05,0.0,5.137139641809963,3.7144037044465104,2.9693545047224363,3.1880440578462705,0.24937493312856523,2.889540057292294,-0.030370182116794743,0.2635590241717629,-0.7281577291138452,-5.137139641809963,2.660240449459428,4.336344756676058,4.266570077411291,3.436685287832164,0.32047055393222834,3.766891024584229
corridor_y_p5p0pct,corridor,0.0,0.05,0.0,6.905271581250528,4.490027160410161,2.979806143704291,3.1913711220183103,0.21870313737599353,2.9002286164526105,-0.03183111817373738,0.2427582335262867,-0.6417254340620558,4.945805327641972,-2.3718992652320137,-5.662992204431482,-6.905271581250528,-2.432676312323423,-0.4962684197413192,-5.011891673006986
corridor_z_m5p0pct,corridor,0.0,0.0,-0.05,2.376547438844989,1.1310498782192768,2.9745586241773356,3.189013853249261,0.2369873467208307,2.895136876504232,-0.03090117226092591,0.25258672989446124,-0.692621939584126,0.20210012212851236,-0.10366404883097591,1.5047626147169035,2.376547438844989,-0.17642445825832853,0.2922771693937065,0.9351397252836735
corridor_z_p5p0pct,corridor,0.0,0.0,0.05,2.3646204527719705,1.2851804892461158,2.975356731116385,3.190529866008861,0.2305526327913844,2.8954482943802984,-0.031014848539885065,0.25068574968622626,-0.6755635410386541,0.01696838827511815,-0.0029320321799697346,-1.4678898780289384,-2.3646204527719705,-0.14889639584922953,-0.5098062989056573,-1.879713416393769
corridor_x_m8p0pct,corridor,-0.08,0.0,0.0,2.5834225650677833,1.5776958399815806,2.97889735234259,3.199182396665235,0.2307075195356661,2.8960589965278847,-0.03130440895127084,0.25327287388982545,-0.6746313751506396,0.8569458600733881,-0.41958727721055356,-2.023971316288209,-2.5834225650677833,-0.8772723404710026,-0.4016972040331468,-2.193618018760346
corridor_x_p8p0pct,corridor,0.08,0.0,0.0,2.374749479723426,1.2727098335472762,2.970539899942145,3.1805811370046624,0.23657538739852813,2.8938884301316015,-0.030631067183489798,0.25025114275567967,-0.6926321357362862,-0.614655167355227,0.3055174434736685,1.8605097381646063,2.374749479723426,0.5628916756386326,0.1567329030255804,1.193753132429931
corridor_y_m8p0pct,corridor,0.0,-0.08,0.0,39.954927374909566,22.851711756922718,2.9656042788019086,3.186933579037623,0.2591310773298802,2.8856714890071458,-0.030178587131088137,0.2036836056578639,-0.541557667687975,-8.358376708906345,4.624680862616648,-20.32498288074891,9.869854767913843,-30.769830606706748,-22.593302501386248,-39.954927374909566
corridor_y_p8p0pct,corridor,0.0,0.08,0.0,11.872457572490413,7.287207809474511,2.9823608937048447,3.192268386163753,0.20998423802580846,2.9028076732950705,-0.03247736147416513,0.2387632222561472,-0.6172383192797372,7.6057796078669915,-3.5800737950218764,-9.462565266814716,-11.872457572490413,-3.2982796164331307,-0.6531117541239029,-7.697946359721541
corridor_z_m8p0pct,corridor,0.0,0.0,-0.08,3.8673367144199,1.8778198349240285,2.9743076841858715,3.1885453567485946,0.23900576553834155,2.8950356941143145,-0.030866165756791342,0.25320827188060835,-0.6979473750113525,0.254539871214976,-0.13244820312822148,2.438247189679399,3.8673367144199,-0.17914117611521618,0.5474608008593673,1.8352031888462905
corridor_z_p8p0pct,corridor,0.0,0.0,0.08,3.706368243418434,1.9552659906445309,2.975585265492511,3.1909793927083876,0.2287108966363256,2.8955312982330326,-0.031044171108406144,0.2501520507279954,-0.6706627617864854,-0.04162770916295022,0.02870694607859381,-2.3098190453758605,-3.706368243418434,-0.138514069022333,-0.735796693527202,-2.669435559167943
