name,design_phase,x,y,z,center_bulk_completion_fraction,center_energy_excess_fraction,epsilon_radial_identity,epsilon_identity_abs_error,u_center,lambda_radial,chi_lowest_dimension,radial_driver_lambda_epsilon,radial_chi_weight,two_u_identity,radial_chi_weight_minus_2u
corridor_x_m8p0pct,corridor,-0.08,0.0,0.0,0.8776741494641536,0.0527566191435252,0.0527566174761858,1.6673393429811332e-09,0.1223258505358464,1.0651475393484835,0.22968808736237453,0.05619358128910851,0.24465170107169276,0.2446517010716928,-2.7755575615628914e-17
corridor_x_p3p0pct,corridor,0.03,0.0,0.0,0.8613658550794191,0.0665892179433949,0.0665892160585649,1.8848300004092877e-09,0.1386341449205809,1.0744797937182886,0.25804886370330116,0.07154876713446937,0.2772682898411618,0.2772682898411618,0.0
corridor_x_p5p0pct,corridor,0.05,0.0,0.0,0.8582819090523343,0.0693543645202339,0.0693543625960717,1.924162176814015e-09,0.1417180909476657,1.076262966483884,0.2633521645934806,0.07464353202624706,0.28343618189533154,0.2834361818953314,1.6653345369377348e-16
corridor_x_p8p0pct,corridor,0.08,0.0,0.0,0.8535890157946104,0.0736502501446383,0.0736502481617711,1.982867203764726e-09,0.1464109842053895,1.0789878354682767,0.2713857921147883,0.07946772184577082,0.2928219684107792,0.292821968410779,1.6653345369377348e-16
corridor_y_m3p0pct,corridor,0.0,-0.03,0.0,0.8567265969255918,0.0707663967256534,0.0707663946617348,2.063918549954913e-09,0.1432734030744081,1.0771645127029708,0.2660195381202945,0.07622704902155368,0.28654680614881634,0.2865468061488162,1.1102230246251565e-16
corridor_y_m5p0pct,corridor,0.0,-0.05,0.0,0.8504164485889842,0.0766137381939089,0.0766137359595992,2.2343096678367758e-09,0.1495835514110157,1.0808377765583954,0.2767918639692995,0.08280702002840518,0.29916710282203146,0.2991671028220314,5.551115123125783e-17
corridor_y_m8p0pct,corridor,0.0,-0.08,0.0,0.8406905953513512,0.0859893029952281,0.08598930048769,2.5075380938321956e-09,0.1593094046486488,1.086548714406964,0.29323932288779075,0.09343156389765371,0.3186188092972977,0.3186188092972976,1.1102230246251565e-16
corridor_y_p3p0pct,corridor,0.0,0.03,0.0,0.8747923361537251,0.0551021033036936,0.0551021016961387,1.6075548600613663e-09,0.1252076638462749,1.0667848174071095,0.23473836860670796,0.058782085496663306,0.25041532769254976,0.2504153276925498,-5.551115123125783e-17
corridor_y_p5p0pct,corridor,0.0,0.05,0.0,0.8805181027332832,0.0504846407392722,0.0504846392662037,1.4730684519403956e-09,0.1194818972667167,1.0635366908157136,0.2246878707589791,0.05369226618220332,0.23896379453343336,0.2389637945334334,-2.7755575615628914e-17
corridor_y_p8p0pct,corridor,0.0,0.08,0.0,0.8888224360375135,0.0440977657378885,0.044097764450795,1.2870934040787319e-09,0.1111775639624864,1.05886078110959,0.2099946771963399,0.04669339331155551,0.22235512792497272,0.2223551279249728,-8.326672684688674e-17
corridor_z_m3p0pct,corridor,0.0,0.0,-0.03,0.8652272823713582,0.0631927859967353,0.0631927841527581,1.843977179283307e-09,0.1347727176286418,1.0722553861947046,0.251381749840274,0.06775880317643425,0.26954543525728364,0.2695454352572836,5.551115123125783e-17
corridor_z_m5p0pct,corridor,0.0,0.0,-0.05,0.8647559078434861,0.0636034395566612,0.0636034376999623,1.8566988224666403e-09,0.1352440921565139,1.072526431790699,0.252197219849788,0.06821636808596258,0.27048818431302757,0.2704881843130278,-2.220446049250313e-16
