scale_ratio_Lambda_over_M,log_interval,sign,N_eff,mismatch_pct,below_1pct_flavor_window
10.233717986325198,2.325687953458869,enhancement,21.35095421009653,1.6712105242691733,False
10.392556829367125,2.341089860435418,suppression,20.653110090905447,-1.6518567099740644,True
10.392556829367125,2.341089860435418,enhancement,21.353299765669323,1.6823798365205977,False
10.553861030365235,2.3564917674119665,suppression,20.650848872872896,-1.6626244148909786,True
10.553861030365235,2.3564917674119665,enhancement,21.355645604050274,1.6935504954775027,False
10.71766885445503,2.3718936743885153,suppression,20.648587926954896,-1.6733908240243012,True
10.71766885445503,2.3718936743885153,enhancement,21.35799172527514,1.7047225013101963,False
10.88401916069006,2.387295581365064,suppression,20.64632725311706,-1.6841559375378012,True
10.88401916069006,2.387295581365064,enhancement,21.360338129379688,1.7158958541889868,False
11.052951411260215,2.402697488341613,suppression,20.644066851325032,-1.6949197555950812,True
11.052951411260215,2.402697488341613,enhancement,21.36268481639969,1.7270705542842268,False
11.224505680853065,2.4180993953181615,suppression,20.64180672154444,-1.7056822783598102,True
11.224505680853065,2.4180993953181615,enhancement,21.365031786370906,1.7382466017662246,False
11.39872266616052,2.4335013022947103,suppression,20.639546863740932,-1.7164435059955574,True
11.39872266616052,2.4335013022947103,enhancement,21.36737903932912,1.7494239968053327,False
11.57564369553304,2.448903209271259,suppression,20.63728727788015,-1.7272034386659474,True
11.57564369553304,2.448903209271259,enhancement,21.369726575310118,1.7606027395719925,False
11.755310738783693,2.4643051162478082,suppression,20.63502796392774,-1.7379620765345716,True
11.755310738783693,2.4643051162478082,enhancement,21.372074394349685,1.7717828302366012,False
11.937766417144363,2.4797070232243565,suppression,20.63276892184936,-1.7487194197649436,True
11.937766417144363,2.4797070232243565,enhancement,21.374422496483604,1.7829642689695335,False
12.123054013376523,2.4951089302009057,suppression,20.63051015161067,-1.7594754685206104,True
12.123054013376523,2.4951089302009057,enhancement,21.376770881747678,1.7941470559413197,False
12.311217482038902,2.5105108371774545,suppression,20.62825165317733,-1.7702302229650968,True
12.311217482038902,2.5105108371774545,enhancement,21.379119550177705,1.8053311913224013,False
12.502301459914554,2.5259127441540032,suppression,20.62599342651501,-1.7809836832618609,True
12.502301459914554,2.5259127441540032,enhancement,21.381468501809497,1.8165166752833084,False
