sign,sign_numeric,c_g,N_eff,k_weighted_over_k0,mismatch_pct,max_flavor_error_pct_interp,rms_flavor_error_pct_interp
suppression,-1,1.23,20.51070734993938,0.9767003499971134,-2.3299650002886585,0.9785057519339484,0.610200043350291
suppression,-1,1.24,20.506781069959686,0.9765133842837945,-2.3486615716205472,0.9822056043815984,0.6149972420010914
suppression,-1,1.25,20.50285561633428,0.97632645792068,-2.3673542079320042,0.9859031975425752,0.6197998020231889
suppression,-1,1.26,20.498930988880563,0.9761395708990744,-2.386042910092556,0.9896052377390727,0.6246104912098676
suppression,-1,1.27,20.495007187415986,0.975952723210285,-2.4047276789714966,0.9933204539051789,0.6294445780158316
suppression,-1,1.28,20.491084211758032,0.9757659148456206,-2.4234085154379414,0.9970348881637028,0.6342776474357387
suppression,-1,1.29,20.487162061724238,0.9755791457963923,-2.4420854203607734,1.0007332910752538,0.6391325946121991
suppression,-1,1.3,20.483240737132164,0.9753924160539126,-2.460758394608742,1.0044250908671277,0.6439952650143
suppression,-1,1.31,20.479320237799435,0.9752057256094969,-2.479427439050308,1.008119720701094,0.6488621344930338
suppression,-1,1.32,20.475400563543694,0.9750190744544616,-2.4980925545538435,1.01183076557713,0.6537528722776506
suppression,-1,1.33,20.471481714182637,0.9748324625801256,-2.516753741987443,1.015541029464494,0.6586425808074526
suppression,-1,1.34,20.467563689534,0.9746458899778095,-2.5354110022190457,1.0192520700746082,0.6635490034289329
suppression,-1,1.35,20.463646489415567,0.9744593566388365,-2.554064336116346,1.0229632767772754,0.6684651822475274
suppression,-1,1.36,20.459730113645143,0.9742728625545306,-2.5727137445469395,1.02667143498299,0.6733821832224628
suppression,-1,1.37,20.455814562040597,0.9740864077162189,-2.5913592283781095,1.030348182649529,0.6783232308713488
suppression,-1,1.3800000000000001,20.451899834419827,0.9738999921152298,-2.610000788477018,1.0340241565858947,0.6832632387323563
suppression,-1,1.3900000000000001,20.44798593060077,0.9737136157428937,-2.6286384257106277,1.0377087099037499,0.6882154927757912
suppression,-1,1.4000000000000001,20.44407285040141,0.9735272785905434,-2.6472721409456557,1.0414013084645855,0.6931792342511846
suppression,-1,1.41,20.440160593639774,0.973340980649513,-2.665901935048698,1.0450931299841177,0.6981419311959898
suppression,-1,1.42,20.436249160133926,0.9731547219111393,-2.6845278088860725,1.048809505280907,0.7031271160788541
suppression,-1,1.43,20.432338549701967,0.9729685023667604,-2.7031497633239643,1.0525261828625454,0.708112259270541
suppression,-1,1.44,20.428428762162053,0.9727823220077167,-2.721767799228325,1.056621524306754,0.7131056851634839
suppression,-1,1.45,20.42451979733236,0.9725961808253504,-2.7403819174649624,1.0612806330184508,0.7181119462275029
suppression,-1,1.46,20.420611655031127,0.972410078811006,-2.758992118899395,1.0659387613556248,0.7231171538688386
suppression,-1,1.47,20.41670433507662,0.9722240159560295,-2.7775984043970525,1.0735478910691485,0.7281401943159624
suppression,-1,1.48,20.41279783728715,0.9720379922517691,-2.7962007748230877,1.0817031739337661,0.7331656822184062
suppression,-1,1.49,20.408892161481074,0.9718520076895749,-2.8147992310425085,1.08986686908056,0.7381960531004492
