name,design_phase,x,y,z,Gmax_y,max_error_pct,rms_error_pct,a_d0_fit,h_d0_fit,err_ct,err_ut,err_sb,err_db,err_Vus,err_Vcb,err_Vub
pair_ym1p5_zm1p5,phase2_interaction,0.0,-0.015,-0.015,0.744968880817827,9.228251248129759,5.105322470876784,0.2756682941171759,2.584055243616519,-0.8292211251303527,-2.4963946084965216,-2.2893369659617524,9.228251248129759,3.687562223124674,1.4111155092737304,8.339039634965562
pair_ym1p5_zp1p5,phase2_interaction,0.0,-0.015,0.015,0.746595966767041,6.188836507642237,3.5263069197816974,0.2704592252364989,2.6006649698903104,-0.9332254265383977,-2.1412445231154043,-1.6995255000150644,6.188836507642237,2.62984828434909,0.9578054842943384,5.706528546763567
pair_yp1p5_zm1p5,phase2_interaction,0.0,0.015,-0.015,0.7691764365946441,6.260116444744845,3.5613048349110135,0.24606516432557268,2.7254789311675003,1.168516708105427,1.0533697596757596,3.198957942247249,-4.637937847490203,-3.8006403058965077,-0.9630689032381068,-6.260116444744845
pair_yp1p5_zp1p5,phase2_interaction,0.0,0.015,0.015,0.7708976477710523,8.536905728890599,5.001052539462393,0.2417409359358145,2.7416481079293007,1.0353803280019669,1.36290876573959,4.188068003743095,-7.4213544198866055,-4.979985831336775,-1.3596762320759237,-8.536905728890599
validation_01,phase2_validation,-0.0166906968976708,-0.0177588310503958,-0.0167414382814477,0.7369541868464903,8.552441469521899,5.170959793880648,0.27795843055148756,2.5528431542654175,-1.5698706501429793,-5.198754067250144,-2.7156918080900927,8.552441469521899,2.9631290229303664,1.4987736410505992,8.13231489182602
validation_02,phase2_validation,-0.0122683900042898,0.010103876561482,0.0044575806308353,0.7618977940345512,6.621155263965317,3.858836260795635,0.24715962868943095,2.699281301416589,0.37539767425958104,-1.0249461832389284,2.874677053674768,-5.652223224634934,-4.270999424190769,-0.8662299152319974,-6.621155263965317
validation_03,phase2_validation,-0.0022073971764227,0.017230356477012,-0.0037629185249522,0.7708433401885022,8.411698829138793,4.885637486784057,0.24221068600926823,2.739851985286952,1.1749056855542728,1.0750201084517297,4.123414104132417,-7.038428479821346,-5.058981249185301,-1.287678589906005,-8.411698829138793
validation_04,phase2_validation,0.010999625234478,0.0019447359453563,-0.0136949715867342,0.7625494809182062,2.482466126640892,1.1560979501762714,0.25867445204720024,2.6768004370718246,0.7040025024092955,1.21133240084903,0.5918813527011846,2.482466126640892,0.388329776355123,0.0826937713846343,0.8499362937553379
validation_05,phase2_validation,0.0195131290489759,0.0096082345211527,0.0162620183224917,0.7735923625325916,4.426561709673549,2.823152357887509,0.24712340665892618,2.7391230178866595,1.3365940457079617,3.6411864476658007,2.8033932382600213,-2.8968881794937174,-1.996347570035073,-0.9569614926882686,-4.426561709673549
validation_06,phase2_validation,0.0074415802694216,-0.0109447115094505,0.0086197077368819,0.7520962108198059,5.8698318600928,3.122502683033579,0.26778448341608896,2.6241458136531906,-0.3826257266641764,-0.6387227199113332,-1.1743579845031493,5.8698318600928,2.5060413615386468,0.7840963215594021,4.996668769337709
