n_fixed,fixed,n_fitted,max_error_pct,rms_error_pct,h_Q,h_u0,h_u1,a_d0,a_d1,h_d0,h_d1
3,c_u1+c_d0+c_d1,4,1.168965381998266,0.6007334507330623,2.7958830046388705,2.8861169854270687,-0.03157854169304032,0.25609222279746524,0.24449628852650587,2.6525975022153876,-0.6631493755538469
3,a_d0+a_d1+c_d0,4,1.0232969510618695,0.7339528904391638,2.7580113875959316,2.9072772551197428,-0.03167763398353553,0.2635365830624751,0.24395430601509957,2.6525975022153876,-0.6591761306852391
3,a_d0+a_d1+c_d1,4,1.0224416309317697,0.6562092645267991,2.760940262725881,2.9303392301755458,-0.031701070770638176,0.2635365830624751,0.24395430601509957,2.671546521726348,-0.6631493755538469
3,a_d0+c_d0+c_d1,4,1.4539735164392997,1.0650532264598422,2.7631462228845027,2.904069681937187,-0.03166028084502418,0.2635365830624751,0.24513903523594455,2.6525975022153876,-0.6631493755538469
3,a_d1+c_d0+c_d1,4,1.5601774424661041,0.6716630466035153,2.8162855152461055,2.881980990129768,-0.0315099998886189,0.2549287807238166,0.24395430601509957,2.6525975022153876,-0.6631493755538469
4,c_Q+c_u0+c_u1+a_d0,3,0.8975988442909699,0.4791997994294595,2.7789116689875484,2.90522583575971,-0.03157854169304032,0.2635365830624751,0.24168750783833215,2.649781274793014,-0.6536492891633171
4,c_Q+c_u0+c_u1+a_d1,3,0.908767139936284,0.44428094894022335,2.7789116689875484,2.90522583575971,-0.03157854169304032,0.25864969403291166,0.24395430601509957,2.6613143135054105,-0.6622678923460094
4,c_Q+c_u0+c_u1+c_d0,3,0.5304279204056073,0.31838520210755566,2.7789116689875484,2.90522583575971,-0.03157854169304032,0.2618275524774344,0.24186942330760783,2.6525975022153876,-0.6547541353649603
4,c_Q+c_u0+c_u1+c_d1,3,0.7709456641236123,0.4796218222921098,2.7789116689875484,2.90522583575971,-0.03157854169304032,0.2578637305470543,0.24400633976111025,2.663223229584849,-0.6631493755538469
4,c_Q+c_u0+a_d0+a_d1,3,1.365123814581759,0.8086067293034597,2.7789116689875484,2.90522583575971,-0.03162292379394013,0.2635365830624751,0.24395430601509957,2.6526622276673684,-0.6600262270976496
4,c_Q+c_u0+a_d0+c_d0,3,1.3958213373655548,0.6077866777211777,2.7789116689875484,2.90522583575971,-0.031622900647043255,0.2635365830624751,0.24249882209081547,2.6525975022153876,-0.656687923220106
4,c_Q+c_u0+a_d0+c_d1,3,1.5830387607325802,1.0380014129253308,2.7789116689875484,2.90522583575971,-0.03162274368091157,0.2635365830624751,0.2446838391985283,2.6548657417316326,-0.6631493755538469
4,c_Q+c_u0+a_d1+c_d0,3,1.4870195446076595,0.760815636817761,2.7789116689875484,2.90522583575971,-0.031623239700172674,0.2627212504095106,0.24395430601509957,2.6525975022153876,-0.6597617664371745
4,c_Q+c_u0+a_d1+c_d1,3,0.7022440065391322,0.46564614081538286,2.7789116689875484,2.90522583575971,-0.031623893994872435,0.257736051864577,0.24395430601509957,2.6634883773511935,-0.6631493755538469
4,c_Q+c_u0+c_d0+c_d1,3,2.128546090380734,1.1457695920584106,2.7789116689875484,2.90522583575971,-0.031623047386587236,0.26353609372970044,0.2449699026052763,2.6525975022153876,-0.6631493755538469
4,c_Q+c_u1+a_d0+a_d1,3,1.0054599946024867,0.6424962490832388,2.7789116689875484,2.978044272880104,-0.03157854169304032,0.2635365830624751,0.24395430601509957,2.7119371468553273,-0.6723229616610531
4,c_Q+c_u1+a_d0+c_d0,3,0.8730210793081783,0.46743273231951377,2.7789116689875484,2.9087596625930905,-0.03157854169304032,0.2635365830624751,0.24168782705334074,2.6525975022153876,-0.6542171989263599
4,c_Q+c_u1+a_d0+c_d1,3,0.8021908116561893,0.3983789410596692,2.7789116689875484,2.9538036389239415,-0.03157854169304032,0.2635365830624751,0.24216325142741504,2.689934081946584,-0.6631493755538469
4,c_Q+c_u1+a_d1+c_d0,3,0.8953109599891373,0.4336582831193856,2.7789116689875484,2.893536305760034,-0.03157854169304032,0.2581776339104538,0.24395430601509957,2.6525975022153876,-0.6604976100886775
4,c_Q+c_u1+a_d1+c_d1,3,0.8942591459710325,0.45036404705122723,2.7789116689875484,2.910472652969274,-0.03157854169304032,0.25876557307092696,0.24395430601509957,2.665450324687534,-0.6631493755538469
4,c_Q+c_u1+c_d0+c_d1,3,1.125554768194248,0.6493394940444364,2.7789116689875484,2.8890528267977817,-0.03157854169304032,0.25693845941418725,0.2447835147331712,2.6525975022153876,-0.6631493755538469
4,c_Q+a_d0+a_d1+c_d0,3,1.3995192537459733,0.8085815509333714,2.7789116689875484,2.9053256936813034,-0.03162306882819607,0.2635365830624751,0.24395430601509957,2.6525975022153876,-0.6599810409604325
4,c_Q+a_d0+a_d1+c_d1,3,1.1748376366911506,0.7239468917062755,2.7789116689875484,2.924968056069375,-0.0316489671944782,0.2635365830624751,0.24395430601509957,2.6684804621393443,-0.6631493755538469
4,c_Q+a_d0+c_d0+c_d1,3,1.65340881214604,1.0891964254420532,2.7789116689875484,2.902928605034799,-0.03161987614518298,0.2635365830624751,0.24488168048953313,2.6525975022153876,-0.6631493755538469
4,c_Q+a_d1+c_d0+c_d1,3,2.130040338253214,1.031234930258405,2.7789116689875484,2.886625323291737,-0.03160096976918947,0.2563644116247038,0.24395430601509957,2.6525975022153876,-0.6631493755538469
4,c_u0+c_u1+a_d0+a_d1,3,1.1238655027337785,0.7760724128923691,2.7642122437393724,2.90522583575971,-0.03157854169304032,0.2635365830624751,0.24395430601509957,2.6515142891209784,-0.6592136038913015
