mode,scale_relative_to_radial,lambda0,lambdaF,max_error_pct,rms_error_pct,below_1pct
seed_only,1.143,1.2251302966874116,1.0718550277230197,0.6380568780327778,0.3607792905900172,True
seed_only,1.1440000000000001,1.2262021517151347,1.0718550277230197,0.6382457021403609,0.36096042463209194,True
seed_only,1.145,1.2272740067428576,1.0718550277230197,0.6384345282769766,0.36114371434002623,True
seed_only,1.1460000000000001,1.2283458617705807,1.0718550277230197,0.6386233564399713,0.36132915652268294,True
seed_only,1.147,1.2294177167983036,1.0718550277230197,0.6388121866250818,0.36151674795802485,True
seed_only,1.1480000000000001,1.2304895718260267,1.0718550277230197,0.6390010189334272,0.36170648538168687,True
seed_only,1.149,1.2315614268537496,1.0718550277230197,0.6391898532150608,0.36189836547427884,True
seed_only,1.1500000000000001,1.2326332818814727,1.0718550277230197,0.6393786895459996,0.36209238493515084,True
seed_only,1.151,1.2337051369091956,1.0718550277230197,0.6395675278844992,0.3622885404245988,True
seed_only,1.1520000000000001,1.2347769919369187,1.0718550277230197,0.6397563683054108,0.3624868285181879,True
seed_only,1.153,1.2358488469646416,1.0718550277230197,0.6399452107641923,0.3626872458476672,True
seed_only,1.1540000000000001,1.236920701992365,1.0718550277230197,0.6401340552530055,0.3628897889555327,True
seed_only,1.155,1.2379925570200878,1.0718550277230197,0.6403229017716172,0.36309445432649545,True
seed_only,1.1560000000000001,1.239064412047811,1.0718550277230197,0.6405117504184599,0.36330123851162716,True
seed_only,1.157,1.2401362670755338,1.0718550277230197,0.6407006009852667,0.3635101379598661,True
seed_only,1.158,1.2412081221032567,1.0718550277230197,0.6408894536334753,0.3637211491239101,True
seed_only,1.159,1.2422799771309798,1.0718550277230197,0.641078308324361,0.36393426838590415,True
seed_only,1.16,1.2433518321587027,1.0718550277230197,0.6412671650580792,0.3641494921242256,True
seed_only,1.161,1.2444236871864258,1.0718550277230197,0.6414560238326761,0.36436681671008,True
seed_only,1.162,1.2454955422141487,1.0718550277230197,0.6416448846507605,0.3645862384670512,True
seed_only,1.163,1.2465673972418718,1.0718550277230197,0.6418337475026292,0.36480775371006646,True
seed_only,1.164,1.2476392522695947,1.0718550277230197,0.6420226123243666,0.3650313586636503,True
seed_only,1.165,1.248711107297318,1.0718550277230197,0.6422114793000921,0.3652570496232795,True
seed_only,1.166,1.249782962325041,1.0718550277230197,0.642400348277794,0.36548482280242967,True
seed_only,1.167,1.250854817352764,1.0718550277230197,0.6425892192676863,0.36571467435882526,True
seed_only,1.168,1.251926672380487,1.0718550277230197,0.6427780923174531,0.3659466005108063,True
seed_only,1.169,1.25299852740821,1.0718550277230197,0.6429669674175575,0.3661805973127515,True
seed_only,1.17,1.254070382435933,1.0718550277230197,0.6431558445399221,0.3664166609733309,True
seed_only,1.171,1.255142237463656,1.0718550277230197,0.6433447236600554,0.36665478752429187,True
seed_only,1.172,1.256214092491379,1.0718550277230197,0.643533604884472,0.36689497305602325,True
seed_only,1.173,1.257285947519102,1.0718550277230197,0.6437224881263193,0.36713721362198176,True
