zeta_2ay2L_over_16pi2,qF_effective_over_tree,inside_direct_flavor_1pct_scale_window
0.99,0.5036305993220164,True
0.995,0.5023711989469103,True
1.0,0.5011180814927274,True
1.0050000000000001,0.499871200059741,True
1.01,0.498630508214047,True
1.0150000000000001,0.49739595998144337,True
1.02,0.49616750984203045,True
1.025,0.49494511272441427,True
1.03,0.4937287240002331,True
1.035,0.49251829947893394,True
1.04,0.4913137954022007,True
1.045,0.49011516843855724,True
1.05,0.48892237567861724,True
1.055,0.4877353746294395,True
1.06,0.4865541232100523,True
1.065,0.48537857974585935,True
1.07,0.48420870296426416,True
1.075,0.48304445198945,True
1.08,0.48188578633790585,True
1.085,0.4807326659136296,True
1.09,0.4795850510034811,True
1.095,0.4784429022725346,True
1.1,0.47730618075980646,True
1.105,0.4761748478736079,True
1.11,0.4750488653873477,True
1.115,0.4739281954352099,True
1.12,0.47281280050765756,True
1.125,0.4717026434476095,True
1.1300000000000001,0.47059768744611863,True
1.135,0.4694978960381755,True
1.1400000000000001,0.4684032330991097,True
1.145,0.46731366284021936,True
1.1500000000000001,0.46622914980499836,True
1.155,0.46514965886548926,True
1.16,0.46407515521811177,True
1.165,0.4630056043803151,True
1.17,0.46194097218653185,False
1.175,0.4608812247848802,False
1.18,0.45982632863326756,False
1.185,0.4587762504960929,False
1.19,0.4577309574406754,False
1.195,0.45669041683370754,False
1.2,0.4556545963379335,False
1.205,0.4546234639090002,False
1.21,0.4535969877916889,False
1.215,0.4525751365171646,False
1.22,0.4515578788993322,False
1.225,0.4505451840319624,False
1.23,0.4495370212855455,False
1.235,0.4485333603039453,False
1.24,0.44753417100155124,False
1.245,0.44653942356035625,False
1.25,0.44554908842681085,False
1.2550000000000001,0.444563136308876,False
1.26,0.4435815381734248,False
1.2650000000000001,0.4426042652428735,False
1.27,0.4416312889930558,False
1.2750000000000001,0.44066258114980433,False
1.28,0.4396981136865518,False
1.285,0.4387378588216592,False
1.29,0.4377817890155199,False
1.295,0.43682987696813635,False
1.3,0.43588209561632474,False
1.305,0.4349384181314908,False
1.31,0.43399881791666023,False
1.315,0.43306326860430505,False
1.32,0.43213174405369764,False
1.325,0.4312042183485632,False
1.33,0.4302806657947075,False
1.335,0.4293610609176202,False
1.34,0.4284453784600035,False
1.345,0.42753359337949964,False
1.35,0.4266256808467177,False
1.355,0.4257216162425383,False
1.36,0.4248213751561158,False
1.365,0.42392493338275566,False
1.37,0.4230322669213944,False
1.375,0.4221433519730241,False
1.3800000000000001,0.42125816493802376,False
1.385,0.4203766824143602,False
1.3900000000000001,0.4194988811954666,False
1.395,0.4186247382682449,False
1.4000000000000001,0.41775423081089463,False
1.405,0.4168873361912641,False
1.41,0.41602403196450494,False
1.415,0.4151642958712495,False
1.42,0.4143081058359872,False
1.425,0.4134554399647445,False
1.43,0.4126062765434365,False
1.435,0.4117605940360695,False
1.44,0.41091837108279455,False
1.445,0.4100795864981099,False
1.45,0.4092442192693873,False
1.455,0.40841224855452796,False
1.46,0.40758365368086164,False
1.465,0.406758414142977,False
1.47,0.40593650960119804,False
1.475,0.40511791987998685,False
1.48,0.4043026249662959,False
1.485,0.40349060500757256,False
1.49,0.40268184031073395,False
1.495,0.40187631134022117,False
1.5,0.40107399871622773,False
1.5050000000000001,0.4002748832137246,False
1.51,0.3994789457603903,False
1.5150000000000001,0.39868616743543633,False
1.52,0.3978965294678866,False
1.5250000000000001,0.3971100132352285,False
1.53,0.3963266002618166,False
1.5350000000000001,0.3955462722176488,False
1.54,0.3947690109166951,False
1.545,0.3939947983156242,False
1.55,0.3932236165123813,False
1.555,0.3924554477447656,False
1.56,0.39169027438908266,False
1.565,0.39092807895899595,False
1.57,0.3901688441037562,False
1.575,0.38941255260735147,False
1.58,0.3886591873868118,False
1.585,0.3879087314912845,False
1.59,0.3871611681004379,False
1.595,0.3864164805234627,False
