name,design_phase,x,y,z,center_bulk_completion_fraction,center_energy_excess_fraction,epsilon_radial_identity,epsilon_identity_abs_error,u_center,lambda_radial
validation_04,phase2_validation,0.010999625234478,0.0019447359453563,-0.0136949715867342,0.8645330856851805,0.0637979432508916,0.06379794141008008,1.8408115171064665e-09,0.1354669143148195,1.072654604713028
validation_05,phase2_validation,0.0195131290489759,0.0096082345211527,0.0162620183224917,0.8662519029321667,0.0623039760610427,0.062303974279046694,1.7819960090870168e-09,0.1337480970678333,1.0716666902563874
validation_06,phase2_validation,0.0074415802694216,-0.0109447115094505,0.0086197077368819,0.8616701400555994,0.0663189059378622,0.0663189040180023,1.9198598960601387e-09,0.1383298599444006,1.0743041728865401
validation_07,phase2_validation,-0.0096297463073575,-0.0069259474504271,-0.0097270843377641,0.8650622797054388,0.0633364077109081,0.0633364058454158,1.8654922884220326e-09,0.1349377202945612,1.0723502489771402
validation_08,phase2_validation,0.0042447431931197,-0.0008398559478993,0.010928888105964,0.8652820639294676,0.0631451329947602,0.0631451311608761,1.8338841001330763e-09,0.1347179360705324,1.072223895075006
corridor_x_m3p0pct,corridor,-0.03,0.0,0.0,0.8703998206818391,0.0587597747492378,0.05875977298296486,1.7662729404066546e-09,0.12960017931816092,1.0692900939601866
corridor_x_m5p0pct,corridor,-0.05,0.0,0.0,0.873337528795257,0.0563025408213176,0.05630253909463708,1.7266805207860614e-09,0.12666247120474305,1.0676132673678937
corridor_x_m8p0pct,corridor,-0.08,0.0,0.0,0.8776741494641536,0.0527566191435252,0.05275661747618586,1.6673393429811334e-09,0.12232585053584644,1.0651475393484837
corridor_x_p3p0pct,corridor,0.03,0.0,0.0,0.8613658550794191,0.0665892179433949,0.0665892160585649,1.8848300004092877e-09,0.1386341449205809,1.0744797937182886
corridor_x_p5p0pct,corridor,0.05,0.0,0.0,0.8582819090523343,0.0693543645202339,0.06935436259607172,1.924162176814015e-09,0.14171809094766574,1.0762629664838839
corridor_x_p8p0pct,corridor,0.08,0.0,0.0,0.8535890157946104,0.0736502501446383,0.0736502481617711,1.9828672037647266e-09,0.14641098420538956,1.0789878354682767
corridor_y_m3p0pct,corridor,0.0,-0.03,0.0,0.8567265969255918,0.0707663967256534,0.07076639466173484,2.063918549954913e-09,0.14327340307440817,1.0771645127029708
