name,design_phase,x,y,z,success,nfev,max_pct,fit_h_Q,fit_h_u0,fit_h_u1,fit_a_d0,fit_a_d1,fit_h_d0,fit_h_d1,pred_h_Q,pred_h_u0,pred_h_u1,pred_a_d0,pred_a_d1,pred_h_d0,pred_h_d1,err_ct,err_ut,err_sb,err_db,err_Vus,err_Vcb,err_Vub
pair_ym1p5_zp1p5,phase2_interaction,0.0,-0.015,0.015,True,6,1.646238700914182e-10,1.9191370106442902,0.3728257528488307,-0.03398346027364641,0.32263792485545995,0.4964966805343878,0.09766276535921646,-0.14810347459348291,1.9875940182681402,0.3808664239426244,-0.02946141685165163,0.3432630314843922,0.4967760134879966,0.11934050054606539,-0.1501948743432023,8.060219158778636e-12,-1.646238700914182e-10,1.0480505352461478e-11,-1.52433621281034e-11,-2.5657254099087368e-11,-2.1871393585115584e-12,-5.7209792458934317e-11
pair_yp1p5_zm1p5,phase2_interaction,0.0,0.015,-0.015,True,6,1.337085997477061e-09,1.9305148336897187,0.37926963336748143,-0.03263442059308042,0.3116464973197982,0.4779920164055707,0.11054879293594379,-0.14892502727172502,1.9228873971513223,0.35537714710013557,-0.02952331083571136,0.3138886299133323,0.47924274242371495,0.11387675996848137,-0.14206417641231472,1.9761969838327786e-11,1.337085997477061e-09,-3.4861002973229915e-12,-6.858957846134217e-11,-4.879430193227563e-11,-2.0761170560490427e-12,-1.3675727217332678e-10
pair_yp1p5_zp1p5,phase2_interaction,0.0,0.015,0.015,True,5,4.882094728486663e-10,1.9300360301312822,0.3797354316443123,-0.03251053365136358,0.31071417898579906,0.4764080635125555,0.11164250221899166,-0.14894000980550637,1.9323615356993635,0.3538260911298304,-0.02924325597022731,0.31326303148439205,0.4750105735461294,0.11259458666034669,-0.1405635757992905,2.8199664825478976e-12,-4.882094728486663e-10,-2.1094237467877974e-12,3.532729664357248e-11,2.5801583092288638e-11,-2.942091015256665e-12,7.720490913243339e-11
validation_01,phase2_validation,-0.0166906968976708,-0.0177588310503958,-0.0167414382814477,True,5,5.4445337127617677e-11,1.9343664502327653,0.37341517305579497,-0.034482554977382146,0.32506577016074745,0.5010280320069934,0.09535722993749758,-0.14870458069381992,1.9834334571489813,0.3837419543353014,-0.030262368568863246,0.33833903121955433,0.5014112460682099,0.12143289536275473,-0.15252463547140502,-3.05089287166993e-11,3.5993430458347575e-11,-1.1723955140041653e-11,5.4445337127617677e-11,9.015010959956271e-12,5.329070518200751e-13,-9.00390872971002e-12
validation_02,phase2_validation,-0.0122683900042898,0.010103876561482,0.0044575806308353,True,6,2.2231105845094135e-10,1.9401283540516003,0.3795166184044849,-0.03293706569430586,0.31312243332843653,0.4806549299036146,0.10901535921417153,-0.14930962984857477,1.938656235786839,0.35756033815612404,-0.029691403614310802,0.3122425795548746,0.478638146869774,0.11405179398435725,-0.14246620548195363,-6.405986852087153e-12,-2.2231105845094135e-10,-1.1024514634527804e-11,-4.419797861032748e-11,-2.930988785010413e-11,4.218847493575595e-13,-9.919842725025774e-11
validation_03,phase2_validation,-0.0022073971764227,0.017230356477012,-0.0037629185249522,True,5,4.992006807924554e-10,1.9334496613043697,0.3802421894709545,-0.03250828809617187,0.31043972273386744,0.4760103102246284,0.11206997140881682,-0.14909704790862247,1.922553684995689,0.352639685701483,-0.029447958669668595,0.31031795171748255,0.4756151691000697,0.11286999915843049,-0.14071131781410726,2.575717417130363e-12,4.992006807924554e-10,-1.9806378759312793e-11,-3.086420008457935e-12,4.2454928461665986e-11,-7.682743330406083e-12,5.568878691519785e-11
validation_04,phase2_validation,0.010999625234478,0.0019447359453563,-0.0136949715867342,True,6,1.8679835456225646e-09,1.9150039828730703,0.37511401533385874,-0.033122611153992856,0.3165957029063405,0.48607842401221374,0.10437065270384115,-0.14808747025298896,1.9463873963467164,0.36777780542834304,-0.02932821399998331,0.3324160837174234,0.48972239869202117,0.11664485524912684,-0.1462771500127289,5.91993121190626e-10,-1.8679835456225646e-09,3.304023721284466e-11,2.2017943024366105e-10,1.2363443602225743e-10,-4.141131881851834e-12,4.347633364432113e-11
validation_05,phase2_validation,0.0195131290489759,0.0096082345211527,0.0162620183224917,True,6,5.254463530945941e-10,1.9094527931572132,0.376684029546148,-0.03251610590330485,0.31241393933811495,0.47888802401028563,0.1091120130931946,-0.14798800968067047,1.9413971474203768,0.36007657967563345,-0.02880158420483439,0.32838547028408605,0.481056529085537,0.11357648913311653,-0.14248850166121033,5.254463530945941e-10,4.0034642267983145e-11,3.346212196220222e-11,4.800604358479177e-11,1.4022116801015727e-10,3.290701044988964e-11,9.530154443382344e-11
validation_06,phase2_validation,0.0074415802694216,-0.0109447115094505,0.0086197077368819,True,6,2.2515322939398175e-10,1.9136555279568435,0.37292187642611785,-0.03371027268103836,0.3210753191181651,0.49369719704320275,0.09927175693976574,-0.14790431814934688,1.977543843663697,0.37804965062034274,-0.029306917674423005,0.34305995144084384,0.49556682238011485,0.11857184155732918,-0.14928014594980143,8.704148513061227e-12,2.2515322939398175e-10,1.616484723854228e-11,-3.2795988147427124e-11,-7.203126983768016e-11,8.770761894538737e-12,-1.0978995490518173e-10
validation_07,phase2_validation,-0.0096297463073575,-0.0069259474504271,-0.0097270843377641,True,5,5.140332604014475e-10,1.9311784122730635,0.375056341515265,-0.03380740623618554,0.3203666721107658,0.49284295275999407,0.1004553001340529,-0.14869006002699414,1.9651727694760526,0.3739119976742783,-0.029897861540216453,0.33088832548879266,0.4931484401643526,0.11856066372304006,-0.14863939440000182,4.418687638008123e-12,5.140332604014475e-10,5.5067062021407764e-12,4.560796185160143e-11,-5.81756864903582e-12,3.6193270602780103e-12,5.3512749786932545e-12
