n_fixed,n_fit,fixed,max_pct,rms_pct,cost,z_h_Q,z_h_u0,z_h_u1,z_a_d0,z_a_d1,z_h_d0,z_h_d1,err_ct,err_ut,err_sb,err_db,err_Vus,err_Vcb,err_Vub
3,4,h_u0+a_d1+h_d0,6.594104472550377,2.5496478028765064,0.0045499251925526195,1.9019028781695508,0.36788041717478503,-0.033408425008473804,0.3040823823257605,0.4879086120301992,0.1164961864166585,-0.1545616891888452,0.6704594009110387,-0.3416275329005902,0.3223139073697423,0.6512874883644271,-0.6790129456261673,-6.594104472550377,-0.6836433491700489
3,4,h_u0+a_d1+h_d1,0.7866992015392982,0.3514854609728689,8.697366172035986e-05,1.9306537971149351,0.36788041717478503,-0.033250264006708205,0.31770481265530454,0.4879086120301992,0.09688725136549486,-0.1460540432730433,-0.19350302956352428,0.09657177211623846,0.13646800471540654,-0.7866992015392982,0.3386823756711399,0.18626773191283696,0.1763635612916259
3,4,h_u0+h_d0+h_d1,7.269410681757272,4.068180923207853,0.011597197288073716,1.7646878461684492,0.36788041717478503,-0.03437179167712914,0.32343699665358844,0.4963637376694095,0.1164961864166585,-0.1460540432730433,4.9121578423583445,-2.383319142421736,-4.648338401390529,-1.883812314083666,2.5715398473953544,-7.269410681757272,1.1950814990893788
3,4,h_u1+a_d0+a_d1,15.373883395084786,8.138180262646692,0.05324432376649207,2.1745825894668163,0.31778054959343216,-0.029519572521720966,0.3285733869112018,0.4879086120301992,0.03890027171439904,-0.13368440993285488,-15.373883395084786,-13.355469696111532,4.109317289723302,-1.8981209920085784,1.5912823673930765,3.332144515872826,3.84190915126168
3,4,h_u1+a_d0+h_d0,15.563353307842142,8.097689125365235,0.05354964787542541,2.176152872288772,0.4150095658978169,-0.029519572521720966,0.3285733869112018,0.4525402788676964,0.1164961864166585,-0.1550436945170486,-15.563353307842142,-14.145210481826155,-0.9907469206974606,-0.5466550041567708,-1.2521689195920893,1.6943581314906364,3.3141893129604583
3,4,h_u1+a_d0+h_d1,15.639088210858409,8.000567449838696,0.05213645594713763,2.1835619800002553,0.3721384687156768,-0.029519572521720966,0.3285733869112018,0.4647574924213914,0.08232404165925897,-0.1460540432730433,-15.639088210858409,-13.58503256170942,1.0061939368990025,-1.4914687960304263,-0.40474839157879083,2.115616346717597,3.3245763145165697
3,4,h_u1+a_d1+h_d0,15.718304146875372,8.583603096929783,0.05895903519613508,2.1039815960723276,0.38964098061304114,-0.029519572521720966,0.29504183641240767,0.4879086120301992,0.1164961864166585,-0.1604906728632071,-14.133116063809315,-15.718304146875372,1.6440064825806733,7.472155907034117,1.9591714220429601,-1.6008756550989545,-2.000153297810703
3,4,h_u1+a_d1+h_d1,15.112115202957078,7.906855198895723,0.050787359888473736,2.1600063781589256,0.3394304238151324,-0.029519572521720966,0.30360432771428203,0.4879086120301992,0.06983042338086942,-0.1460540432730433,-15.112115202957078,-13.868712795800208,3.2355245246568964,1.5621311006421612,1.480709746552411,-0.8762519392487067,-1.0208340190595244
3,4,h_u1+h_d0+h_d1,15.937655885473113,8.879281625848357,0.06364846709549299,2.105442526137753,0.41880443424132824,-0.029519572521720966,0.3316471752920736,0.4469321377779795,0.1164961864166585,-0.1460540432730433,-14.222391065745388,-15.937655885473113,-6.487553963214932,-4.8753173225948405,3.865456261881306,2.696103235343905,2.7456169429436628
3,4,a_d0+a_d1+h_d0,1.927055538897715,1.170274215600582,0.0009527360817642185,1.8614337900335454,0.39371865959608016,-0.0336945282900482,0.3285733869112018,0.4879086120301992,0.1164961864166585,-0.1503185240394458,1.927055538897715,-0.9523618356120922,-0.8363152930623285,0.7207884110779883,-0.7589581853665317,0.8314967537489837,1.574767436920732
3,4,a_d0+a_d1+h_d1,1.9337265340751975,1.0328204988385632,0.0007459850515947782,1.888067724265101,0.3780026119286679,-0.03350496290077685,0.3285733869112018,0.4879086120301992,0.10242335961800361,-0.1460540432730433,1.1016163559149472,-0.5495817614900145,-0.2605136199999025,-0.7479270255338455,-0.26945872755618216,1.2297398405330062,1.9337265340751975
3,4,a_d0+h_d0+h_d1,4.357001403046478,2.165748809039684,0.0033706132909283254,1.8587346201295862,0.3970944825779587,-0.03371752689030294,0.3285733869112018,0.48071898709493605,0.1164961864166585,-0.1460540432730433,2.013385345418528,-0.9916869097284176,-4.357001403046478,-2.0012425435590786,1.9064264912897144,0.8968068870773838,0.6074161236125031
