name,design_phase,x,y,z,center_bulk_completion_fraction,center_energy_excess_fraction,epsilon_radial_identity,epsilon_identity_abs_error,u_center,lambda_radial,R_peak_dimless,hessian_mixing_max_radius_dimless,required_driver,driver_d3_action_peak,relative_error_pct_d3_action_peak,driver_d3_mixing_peak,relative_error_pct_d3_mixing_peak,driver_d4_action_peak,relative_error_pct_d4_action_peak,driver_d4_mixing_peak,relative_error_pct_d4_mixing_peak
corridor_x_m3p0pct,corridor,-0.03,0.0,0.0,0.8703998206818391,0.0587597747492378,0.0587597729829648,1.7662729404066544e-09,0.1296001793181609,1.0692900939601866,5.89112046335264,5.942747614483936,0.06283124317403367,0.0652822476009493,3.9009325665047,0.0647211868805544,3.007968028399244,0.08704299680126573,38.53457675533958,0.08629491584073919,37.343957371199
corridor_x_m5p0pct,corridor,-0.05,0.0,0.0,0.873337528795257,0.0563025408213176,0.056302539094637,1.7266805207860612e-09,0.126662471204743,1.0676132673678935,5.912121338389099,5.9625817742405935,0.06010933772393397,0.06359378437296971,5.796847513174863,0.06306121654586677,4.910849018982688,0.08479171249729295,41.062463350899804,0.0840816220611557,39.88113202531027
corridor_x_m8p0pct,corridor,-0.08,0.0,0.0,0.8776741494641536,0.0527566191435252,0.0527566174761858,1.6673393429811332e-09,0.1223258505358464,1.0651475393484835,5.943914329763739,5.99291637151548,0.05619358128910851,0.06111332572295638,8.754993579313686,0.06061863739614355,7.8746646957216,0.08148443429727517,45.0066581057516,0.08082484986152473,43.83288626096211
corridor_x_p3p0pct,corridor,0.03,0.0,0.0,0.8613658550794191,0.0665892179433949,0.0665892160585649,1.8848300004092877e-09,0.1386341449205809,1.0744797937182886,5.829867911162965,5.884703529313722,0.07154876713446937,0.07050492205101003,-1.458928120309222,0.06985552356065167,-2.36655870063478,0.09400656273468004,31.388095839587706,0.09314069808086889,30.17792173248697
corridor_x_p5p0pct,corridor,0.05,0.0,0.0,0.8582819090523343,0.0693543645202339,0.0693543625960717,1.924162176814015e-09,0.1417180909476657,1.076262966483884,5.8100337514063085,5.866036084836868,0.07464353202624706,0.07229767040889204,-3.1427526989614263,0.07161562625156842,-4.0564878060887155,0.09639689387852271,29.142996401384757,0.09548750166875788,27.924682925215038
corridor_x_p8p0pct,corridor,0.08,0.0,0.0,0.8535890157946104,0.0736502501446383,0.0736502481617711,1.982867203764726e-09,0.1464109842053895,1.0789878354682767,5.780865869411225,5.838326596941539,0.07946772184577082,0.07503424930551891,-5.578960158007662,0.07430483339486223,-6.496837119514531,0.10004566574069187,25.894719789323094,0.09907311119314964,24.670883840647306
corridor_y_m3p0pct,corridor,0.0,-0.03,0.0,0.8567265969255918,0.0707663967256534,0.0707663946617348,2.063918549954913e-09,0.1432734030744081,1.0771645127029708,5.9768740364181845,6.034918121588399,0.07622704902155368,0.07106547825322163,-6.771311279376158,0.07038992368940039,-7.657551232900028,0.0947539710042955,24.304918294165123,0.0938532315858672,23.123265022799977
corridor_y_m5p0pct,corridor,0.0,-0.05,0.0,0.8504164485889842,0.0766137381939089,0.0766137359595992,2.2343096678367758e-09,0.1495835514110157,1.0808377765583954,6.057085711904662,6.118338264094337,0.08280702002840518,0.0731868682874807,-11.617555779237676,0.07246294992315536,-12.49177920145117,0.09758249104997425,17.84325896101644,0.09661726656420713,16.677627731398424
corridor_y_m8p0pct,corridor,0.0,-0.08,0.0,0.8406905953513512,0.0859893029952281,0.08598930048769,2.5075380938321956e-09,0.1593094046486488,1.086548714406964,6.180757531563815,6.247260302512604,0.09343156389765371,0.07634545282539885,-18.287300735938906,0.07554289366608632,-19.14628149772051,0.1017939371005318,8.950265685414793,0.10072385822144843,7.804958003039308
corridor_y_p3p0pct,corridor,0.0,0.03,0.0,0.8747923361537251,0.0551021033036936,0.0551021016961387,1.6075548600613663e-09,0.1252076638462749,1.0667848174071095,5.747614483936831,5.79632484686862,0.058782085496663306,0.06465119006357234,9.984512317519222,0.06411364747932746,9.070045639954017,0.08620158675142979,46.646016423358994,0.08548486330576996,45.42672751993872
